PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
"Brook Lopez, C",75,75,29.6,20.5,1.6,3.8,5.4,2.3,0.51,1.65,2.5,2.6,1.0,20.5
"Jeremy Lin, PG",36,33,24.5,14.5,0.3,3.4,3.8,5.1,1.17,0.42,2.4,2.2,2.1,19.3
"Bojan Bogdanovic, SG¢Ó",55,54,26.9,14.2,0.4,3.2,3.6,1.6,0.44,0.05,1.7,1.8,1.0,13.1
"Sean Kilpatrick, SG",70,24,25.1,13.1,0.3,3.7,4.0,2.2,0.64,0.09,1.9,1.7,1.2,13.2
"Trevor Booker, PF",71,43,24.7,10.0,2.0,6.0,8.0,1.9,1.06,0.39,1.8,2.1,1.1,15.7
"Rondae Hollis-Jefferson, SG",78,50,22.6,8.7,1.2,4.6,5.8,2.0,1.05,0.56,1.5,2.3,1.3,13.7
"Joe Harris, SG",52,11,21.9,8.2,0.3,2.5,2.8,1.0,0.58,0.15,1.1,2.3,1.0,9.0
"Caris LeVert, SG",57,26,21.7,8.2,0.4,2.9,3.3,1.9,0.86,0.14,1.0,1.6,1.9,12.3
"Archie Goodwin, SG¢Ó",12,0,15.3,7.9,0.6,1.8,2.3,1.9,0.33,0.33,1.2,0.6,1.6,18.6
"Isaiah Whitehead, G",73,26,22.5,7.4,0.4,2.1,2.5,2.6,0.58,0.49,1.9,2.4,1.4,7.6
"Spencer Dinwiddie, PG",59,18,22.6,7.3,0.5,2.3,2.8,3.1,0.75,0.39,1.1,2.0,2.8,12.7
"Justin Hamilton, C",64,7,18.4,6.9,1.1,3.0,4.1,0.9,0.45,0.67,0.7,1.4,1.3,13.6
"Quincy Acy, SF¢Ó",32,1,15.9,6.5,0.6,2.8,3.3,0.6,0.44,0.47,0.6,1.8,0.9,13.1
"KJ McDaniels, SG¢Ó",20,0,14.7,6.3,0.5,2.2,2.6,0.5,0.60,0.50,1.0,1.3,0.5,12.5
"Yogi Ferrell, PG¢Ó",10,0,15.1,5.4,0.4,0.8,1.2,1.7,0.20,0.20,1.4,1.1,1.2,6.6
"Randy Foye, SG",69,40,18.6,5.2,0.1,2.1,2.2,2.0,0.51,0.13,1.2,1.4,1.7,7.3
"Luis Scola, PF",36,1,12.8,5.1,1.4,2.4,3.9,1.0,0.39,0.11,0.9,1.8,1.1,14.0
"Anthony Bennett, PF",23,1,11.5,5.0,1.1,2.3,3.4,0.5,0.22,0.13,0.5,0.8,1.0,14.7
"Andrew Nicholson, PF¢Ó",10,0,11.1,3.0,0.4,2.3,2.7,0.3,0.50,0.00,0.6,1.8,0.5,5.1
"Chris McCullough, PF¢Ó",14,0,5.1,2.5,0.6,0.6,1.2,0.1,0.07,0.14,0.1,0.5,1.0,16.9
"Greivis Vasquez, PG",3,0,13.0,2.3,0.0,0.7,0.7,1.7,0.33,0.33,0.3,2.0,5.0,4.1
