PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO
"Isaiah Thomas, PG",15,15,34.7,23.3,0.3,2.8,3.1,6.7,0.87,0.13,3.3,2.3,2.0
"Avery Bradley, PG",18,18,35.8,16.7,1.0,2.9,3.9,2.3,1.28,0.17,1.7,2.2,1.3
"Al Horford, C",18,18,33.9,15.1,1.7,4.8,6.6,5.4,0.83,0.78,1.8,1.8,2.9
"Jae Crowder, SF",18,18,33.1,13.6,1.1,5.3,6.4,2.7,1.06,0.33,0.7,2.9,4.0
"Kelly Olynyk, C",18,2,19.2,9.2,0.8,2.4,3.2,1.9,0.72,0.78,1.2,2.6,1.5
"Marcus Smart, PG",18,3,29.9,8.6,1.3,3.4,4.7,4.7,1.50,0.89,2.1,2.8,2.2
"Gerald Green, SF",13,7,14.8,7.5,0.2,1.4,1.5,0.7,0.23,0.08,0.5,1.6,1.3
"Terry Rozier, PG",17,0,16.3,5.6,0.7,1.9,2.6,1.9,0.65,0.24,0.6,1.2,3.2
"Jaylen Brown, F",17,0,12.6,5.0,0.7,1.4,2.1,0.8,0.35,0.12,0.8,1.5,1.0
"Jonas Jerebko, PF",12,0,10.7,3.6,0.6,1.8,2.4,1.0,0.42,0.25,0.5,1.1,2.0
"Tyler Zeller, C",11,0,7.1,2.9,0.7,1.0,1.7,0.7,0.00,0.18,0.4,0.6,2.0
"Amir Johnson, PF",14,9,10.1,2.6,1.2,0.9,2.1,0.2,0.29,0.43,0.4,1.7,0.5
"Jordan Mickey, PF",2,0,9.0,2.0,0.0,2.5,2.5,0.0,0.00,0.50,0.5,1.5,0.0
"James Young, SG",10,0,3.9,1.5,0.1,0.6,0.7,0.3,0.00,0.00,0.1,0.2,3.0
