PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO
"Jimmy Butler, SG",6,6,39.8,22.7,1.5,5.8,7.3,4.3,1.67,0.83,2.5,1.7,1.7
"Dwyane Wade, SG",6,6,31.7,15.0,1.0,4.0,5.0,4.0,0.83,1.33,1.7,1.3,2.4
"Robin Lopez, C",6,6,27.0,12.7,4.7,2.5,7.2,0.8,0.50,1.00,1.3,2.2,0.6
"Isaiah Canaan, PG",3,2,31.7,11.7,0.0,1.3,1.3,1.3,1.00,0.00,1.7,2.0,0.8
"Rajon Rondo, PG",2,2,33.5,11.5,3.5,5.0,8.5,10.0,3.50,0.50,2.0,3.0,5.0
"Nikola Mirotic, PF",6,6,27.0,8.7,0.7,4.3,5.0,1.5,0.67,0.50,0.7,2.7,2.3
"Paul Zipser, SG",6,0,22.7,7.3,0.5,3.0,3.5,0.5,0.17,0.17,1.2,2.0,0.4
"Bobby Portis, PF",6,0,20.2,6.7,0.8,5.2,6.0,1.2,0.50,0.50,1.0,1.7,1.2
"Joffrey Lauvergne, C",3,0,8.7,4.7,1.7,1.3,3.0,1.7,0.00,0.00,0.7,0.3,2.5
"Anthony Morrow, SG",3,0,9.7,4.0,0.0,1.0,1.0,0.7,0.00,0.00,0.0,0.7,0.0
"Jerian Grant, PG",5,2,10.4,3.2,0.0,0.8,0.8,1.0,0.40,0.00,1.4,0.6,0.7
"Cristiano Felicio, PF",6,0,13.7,3.2,1.2,3.2,4.3,0.3,0.50,0.33,1.2,2.7,0.3
"Cameron Payne, PG",1,0,4.0,3.0,0.0,1.0,1.0,0.0,0.00,0.00,1.0,0.0,0.0
"Michael Carter-Williams, PG",5,0,10.6,2.8,0.2,0.6,0.8,1.2,0.40,0.20,1.2,1.2,1.0
"Denzel Valentine, SG",4,0,5.5,1.3,0.0,2.0,2.0,0.5,0.00,0.25,0.5,0.3,1.0
