PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
"Danilo Gallinari, SF",63,63,33.9,18.2,0.6,4.5,5.2,2.1,0.63,0.24,1.3,1.5,1.6,17.4
"Nikola Jokic, C",73,59,27.9,16.7,2.9,6.9,9.8,4.9,0.84,0.75,2.3,2.9,2.1,26.4
"Wilson Chandler, SF",71,33,30.9,15.7,1.5,5.0,6.5,2.0,0.72,0.42,1.6,2.4,1.2,15.0
"Gary Harris, SG",57,56,31.3,14.9,0.8,2.3,3.1,2.9,1.25,0.14,1.3,1.6,2.2,16.5
"Will Barton, SG",60,19,28.4,13.7,1.0,3.4,4.3,3.4,0.80,0.47,1.6,1.8,2.1,15.6
"Emmanuel Mudiay, PG",55,41,25.6,11.0,0.5,2.7,3.2,3.9,0.75,0.24,2.2,1.7,1.8,10.9
"Jamal Murray, G",82,9,21.5,9.9,0.5,2.1,2.6,2.1,0.62,0.29,1.4,1.5,1.5,12.0
"Kenneth Faried, PF",61,34,21.2,9.6,3.0,4.6,7.6,0.9,0.70,0.66,1.0,2.0,0.9,20.4
"Jameer Nelson, PG",75,40,27.3,9.2,0.4,2.2,2.6,5.1,0.72,0.11,1.7,2.6,3.0,11.5
"Mason Plumlee, C¢Ó",27,10,23.4,9.1,1.9,4.6,6.4,2.6,0.70,1.07,1.7,2.9,1.5,16.3
"Jusuf Nurkic, C¢Ó",45,29,17.9,8.0,2.0,3.8,5.8,1.3,0.56,0.80,1.8,2.0,0.7,15.0
"Darrell Arthur, PF",41,7,15.6,6.4,0.6,2.1,2.7,1.0,0.46,0.51,0.9,1.9,1.2,12.9
"Juan Hernangomez, PF",62,9,13.6,4.9,0.7,2.3,3.0,0.5,0.48,0.19,0.5,1.0,0.9,13.4
"Malik Beasley, SG",22,1,7.5,3.8,0.2,0.5,0.8,0.5,0.32,0.00,0.4,0.5,1.4,13.8
"Johnny O'Bryant III, PF¢Ó",7,0,6.6,2.9,0.7,0.9,1.6,0.3,0.00,0.14,0.4,0.6,0.7,14.5
"Jarnell Stokes, PF",2,0,3.5,1.5,0.5,0.5,1.0,1.0,0.50,0.00,0.0,1.5,0.0,31.5
"Mike Miller, SG",20,0,7.6,1.4,0.1,1.8,1.9,1.1,0.10,0.00,0.7,0.5,1.7,7.6
"Alonzo Gee, SF",13,0,6.8,0.8,0.3,0.8,1.2,0.5,0.38,0.08,0.3,1.1,1.5,3.1
"Roy Hibbert, C¢Ó",6,0,1.8,0.7,0.2,0.2,0.3,0.2,0.00,0.33,0.2,0.5,1.0,16.4
