PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
"Tobias Harris, SF",82,48,31.3,16.1,0.8,4.3,5.1,1.7,0.72,0.48,1.2,1.6,1.5,17.0
"Reggie Jackson, PG",52,50,27.4,14.5,0.4,1.8,2.2,5.2,0.67,0.10,2.2,2.5,2.4,14.9
"Marcus Morris, PF",79,79,32.5,14.0,1.0,3.7,4.6,2.0,0.66,0.32,1.1,2.1,1.8,12.5
"Kentavious Caldwell-Pope, SG",76,75,33.3,13.8,0.7,2.5,3.3,2.5,1.18,0.16,1.1,1.6,2.2,12.9
"Andre Drummond, C",81,81,29.7,13.6,4.3,9.5,13.8,1.1,1.53,1.10,1.9,2.9,0.6,20.9
"Jon Leuer, PF",75,34,25.9,10.2,1.4,4.0,5.4,1.5,0.41,0.35,0.9,1.9,1.7,14.2
"Ish Smith, PG",81,32,24.1,9.4,0.3,2.6,2.9,5.2,0.75,0.41,1.4,1.6,3.7,14.8
"Beno Udrih, PG",39,0,14.4,5.8,0.2,1.3,1.5,3.4,0.33,0.00,0.9,0.7,3.6,16.2
"Boban Marjanovic, C",35,0,8.4,5.5,1.3,2.4,3.7,0.3,0.17,0.34,0.3,0.7,0.9,29.7
"Aron Baynes, C",75,2,15.5,4.9,1.5,3.0,4.4,0.4,0.23,0.52,0.7,2.2,0.6,13.1
"Reggie Bullock, SF",31,5,15.1,4.5,0.4,1.6,2.1,0.9,0.58,0.10,0.3,0.7,2.9,11.7
"Stanley Johnson, SF",77,1,17.8,4.4,0.5,2.0,2.5,1.4,0.73,0.31,0.9,1.6,1.5,7.2
"Darrun Hilliard, SG",39,1,9.8,3.3,0.1,0.8,0.8,0.8,0.28,0.05,0.7,1.0,1.2,5.9
"Henry Ellenson, F",19,2,7.7,3.2,0.4,1.7,2.2,0.4,0.05,0.05,0.7,0.3,0.5,7.5
"Michael Gbinije, SG",9,0,3.6,0.4,0.2,0.1,0.3,0.2,0.00,0.00,0.0,0.2,0.0,-2.1
