PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO
"James Harden, SG",11,11,37.0,28.5,0.6,4.8,5.5,8.5,1.91,0.45,5.4,3.9,1.6
"Eric Gordon, SG",11,2,32.5,12.9,0.5,3.5,3.9,2.0,0.73,0.55,1.3,1.8,1.6
"Lou Williams, SG",11,0,24.7,12.5,0.6,2.1,2.7,1.3,0.64,0.09,1.3,1.5,1.0
"Patrick Beverley, PG",11,11,29.5,11.1,1.9,3.6,5.5,3.0,1.45,0.18,1.6,3.5,1.8
"Trevor Ariza, SF",11,11,37.5,10.7,0.7,4.4,5.1,2.1,1.27,0.18,0.8,2.3,2.6
"Clint Capela, C",11,11,26.0,10.5,2.4,6.4,8.7,1.1,0.73,2.55,0.7,2.5,1.5
"Nene Hilario, C",9,0,17.9,10.0,1.2,3.4,4.7,0.6,0.67,0.44,1.0,2.7,0.6
"Ryan Anderson, PF",11,9,30.5,9.4,1.4,3.8,5.2,0.6,0.36,0.18,0.8,2.2,0.8
"Bobby Brown, PG",5,0,4.4,5.0,0.0,0.4,0.4,0.2,0.00,0.00,0.0,0.2,0.0
"Kyle Wiltjer, F",1,0,5.0,3.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0
"Sam Dekker, SF",4,0,7.8,2.3,1.3,1.3,2.5,0.3,0.25,0.25,0.0,0.5,0.0
"Montrezl Harrell, PF",5,0,4.2,1.0,0.2,1.0,1.2,0.4,0.00,0.00,0.4,1.4,1.0
"Troy Williams, SF",5,0,3.8,0.2,0.4,1.0,1.4,0.2,0.00,0.00,0.4,0.0,0.5
"Isaiah Taylor, PG",3,0,3.3,0.0,0.3,0.3,0.7,0.3,0.00,0.00,0.0,0.3,0.0
