PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO
"Paul George, SF",4,4,43.0,28.0,1.3,7.5,8.8,7.3,1.75,0.50,3.3,3.3,2.2
"Jeff Teague, PG",4,4,35.5,17.0,0.0,3.3,3.3,6.3,1.00,0.75,2.0,3.0,3.1
"Lance Stephenson, SG",4,0,26.8,16.0,0.3,5.0,5.3,2.8,0.50,0.00,1.0,2.8,2.8
"Thaddeus Young, PF",4,4,35.0,12.0,5.5,3.5,9.0,2.5,2.00,0.25,1.5,2.8,1.7
"Myles Turner, C",4,4,33.3,10.8,1.5,5.3,6.8,0.8,1.75,1.25,1.5,3.8,0.5
"CJ Miles, SF",4,2,20.5,7.3,1.0,1.0,2.0,0.3,0.50,0.25,0.5,3.0,0.5
"Kevin Seraphin, C",4,0,14.8,7.3,2.0,1.5,3.5,1.0,0.00,0.50,1.0,2.5,1.0
"Monta Ellis, SG",4,2,19.0,5.5,0.3,1.8,2.0,1.3,0.50,0.25,1.0,1.3,1.3
"Aaron Brooks, PG",1,0,7.0,5.0,0.0,1.0,1.0,1.0,0.00,0.00,1.0,0.0,1.0
"Glenn Robinson III, SG",3,0,10.3,5.0,0.0,1.0,1.0,0.3,0.00,0.00,0.0,0.7,0.0
"Lavoy Allen, PF",3,0,3.7,0.0,0.0,0.7,0.7,0.0,0.00,0.00,0.3,0.0,0.0
