PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
"Lou Williams, SG¢Ó",58,1,24.2,18.6,0.2,2.0,2.3,3.2,1.12,0.19,2.1,1.2,1.5,24.0
"D'Angelo Russell, PG",63,60,28.7,15.6,0.5,3.0,3.5,4.8,1.38,0.25,2.8,2.1,1.7,15.4
"Jordan Clarkson, PG",82,19,29.2,14.7,0.6,2.4,3.0,2.6,1.09,0.10,2.0,1.8,1.3,13.2
"Nick Young, SG",60,60,25.9,13.2,0.4,1.9,2.3,1.0,0.62,0.23,0.6,2.3,1.6,14.1
"Julius Randle, PF",74,73,28.8,13.2,2.0,6.6,8.6,3.6,0.66,0.50,2.3,3.4,1.5,16.3
"Brandon Ingram, F",79,40,28.8,9.4,0.8,3.2,4.0,2.1,0.62,0.46,1.5,2.0,1.4,8.6
"Tyler Ennis, PG¢Ó",22,2,17.8,7.7,0.2,1.0,1.2,2.4,0.86,0.09,1.0,1.3,2.5,14.4
"Luol Deng, SF",56,49,26.5,7.6,1.1,4.1,5.3,1.3,0.86,0.36,0.8,1.1,1.7,10.1
"Ivica Zubac, C",38,11,16.0,7.5,1.1,3.1,4.2,0.8,0.37,0.87,0.8,1.7,1.0,17.0
"Timofey Mozgov, C",54,52,20.4,7.4,1.9,3.0,4.9,0.8,0.30,0.57,1.3,2.5,0.6,12.3
"Larry Nance Jr., PF",63,7,22.9,7.1,1.9,4.0,5.9,1.5,1.30,0.62,0.9,2.4,1.7,15.8
"David Nwaba, PG",20,2,19.9,6.0,0.9,2.3,3.2,0.7,0.60,0.35,0.6,1.8,1.3,12.1
"Tarik Black, C",67,16,16.3,5.7,2.1,3.0,5.1,0.6,0.45,0.66,0.9,2.6,0.7,15.1
"Corey Brewer, SG¢Ó",24,3,14.9,5.4,0.5,1.7,2.2,1.5,1.00,0.33,0.8,1.2,1.9,13.3
"Thomas Robinson, PF",48,1,11.7,5.0,1.8,2.9,4.6,0.6,0.54,0.19,1.0,1.6,0.7,17.4
"Jose Calderon, PG¢Ó",24,11,12.2,3.3,0.3,1.4,1.8,2.1,0.29,0.04,1.1,0.9,2.0,9.1
"Marcelo Huertas, PG",23,1,10.3,2.7,0.1,1.0,1.0,2.3,0.43,0.09,0.8,0.7,2.7,9.1
"Metta World Peace, SF",25,2,6.4,2.3,0.2,0.6,0.8,0.4,0.40,0.08,0.3,0.7,1.6,6.5
