PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO
"Giannis Antetokounmpo, SF",6,6,40.5,24.8,1.7,7.8,9.5,4.0,2.17,1.67,3.3,3.5,1.2
"Khris Middleton, SG",6,6,38.5,14.5,0.0,4.7,4.7,5.3,2.00,0.00,1.8,2.8,2.9
"Greg Monroe, C",6,0,23.5,13.2,2.8,4.5,7.3,1.7,1.33,0.50,1.8,2.7,0.9
"Tony Snell, SF",6,6,30.8,10.0,0.3,2.0,2.3,1.5,0.17,0.17,0.3,2.8,4.5
"Malcolm Brogdon, G",6,6,30.5,9.0,0.5,3.8,4.3,3.5,0.50,0.33,2.0,2.0,1.8
"Matthew Dellavedova, PG",6,0,26.5,7.7,0.2,1.8,2.0,2.0,0.17,0.00,1.2,0.8,1.7
"Thon Maker, PF",6,6,19.3,5.8,1.3,1.8,3.2,2.0,0.83,1.83,1.3,3.0,1.5
"Michael Beasley, SF",4,0,12.0,4.3,0.5,1.8,2.3,0.3,0.25,0.25,0.5,2.0,0.5
"Jason Terry, SG",6,0,11.3,2.5,0.3,1.0,1.3,0.8,0.50,0.17,0.3,1.2,2.5
"Rashad Vaughn, SG",3,0,3.3,2.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0
"Spencer Hawes, PF",3,0,5.7,1.7,0.7,0.7,1.3,0.3,0.00,0.33,0.3,1.0,1.0
"John Henson, PF",2,0,6.0,1.5,1.0,1.0,2.0,0.0,0.50,0.00,0.5,0.5,0.0
"Mirza Teletovic, PF",3,0,9.0,1.0,0.0,1.0,1.0,0.0,0.33,0.00,0.3,1.0,0.0
