PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
"Karl-Anthony Towns, C",82,82,37.0,25.1,3.6,8.7,12.3,2.7,0.68,1.26,2.6,2.9,1.0,26.0
"Andrew Wiggins, SG",82,82,37.2,23.6,1.2,2.8,4.0,2.3,1.00,0.37,2.3,2.2,1.0,16.6
"Zach LaVine, PG",47,47,37.2,18.9,0.4,3.0,3.4,3.0,0.87,0.21,1.8,2.2,1.6,14.7
"Ricky Rubio, PG",75,75,32.9,11.1,0.9,3.2,4.1,9.1,1.71,0.13,2.6,2.7,3.5,16.9
"Gorgui Dieng, PF",82,82,32.4,10.0,2.3,5.6,7.9,1.9,1.07,1.16,1.3,3.1,1.5,14.2
"Shabazz Muhammad, SF",78,1,19.4,9.9,1.1,1.7,2.8,0.4,0.28,0.08,0.7,1.1,0.6,15.0
"Nemanja Bjelica, PF",65,1,18.3,6.2,0.9,2.9,3.8,1.2,0.62,0.31,0.9,2.4,1.3,11.0
"Brandon Rush, SG",47,33,21.9,4.2,0.3,1.8,2.1,1.0,0.47,0.49,0.6,0.9,1.6,6.6
"Kris Dunn, PG",78,7,17.1,3.8,0.3,1.8,2.1,2.4,1.00,0.46,1.1,2.3,2.1,8.1
"Lance Stephenson, SG¢Ó",6,0,11.2,3.5,0.0,1.7,1.7,0.8,0.00,0.00,0.7,0.3,1.3,6.7
"Adreian Payne, PF",18,0,7.5,3.5,0.5,1.3,1.8,0.4,0.44,0.39,0.4,1.8,0.9,14.4
"Tyus Jones, PG",60,0,12.9,3.5,0.2,1.0,1.1,2.6,0.80,0.08,0.6,0.8,4.1,13.9
"Omri Casspi, SF¢Ó",13,0,17.1,3.5,0.5,1.1,1.5,0.8,1.00,0.15,0.8,1.8,1.1,7.4
"Jordan Hill, C",7,0,6.7,1.7,1.1,0.9,2.0,0.0,0.14,0.00,0.6,1.3,0.0,5.5
"Cole Aldrich, C",62,0,8.6,1.7,0.8,1.7,2.5,0.4,0.40,0.37,0.3,1.4,1.5,12.7
"John Lucas III, PG",5,0,2.2,0.4,0.0,0.0,0.0,0.2,0.40,0.00,0.0,0.0,0.0,9.2
