PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
"Anthony Davis, PF",75,75,36.1,28.0,2.3,9.5,11.8,2.1,1.25,2.23,2.4,2.2,0.9,27.6
"DeMarcus Cousins, C¢Ó",17,17,33.8,24.4,2.2,10.2,12.4,3.9,1.47,1.12,3.6,4.4,1.1,23.3
"Jrue Holiday, PG",67,61,32.7,15.4,0.7,3.3,3.9,7.3,1.49,0.66,2.9,2.0,2.5,17.2
"Jordan Crawford, SG",19,0,23.3,14.1,0.2,1.6,1.8,3.0,0.58,0.11,1.3,1.6,2.3,17.7
"Omri Casspi, SF¢Ó",1,0,24.0,12.0,1.0,1.0,2.0,0.0,0.00,0.00,2.0,3.0,0.0,10.0
"Terrence Jones, PF¢Ó",51,12,24.8,11.5,1.3,4.7,5.9,1.2,0.76,1.04,0.9,1.3,1.2,16.3
"Lance Stephenson, SG¢Ó",6,0,27.0,9.7,0.5,2.5,3.0,4.8,0.33,0.17,1.8,3.0,2.6,10.4
"E'Twaun Moore, SG",73,22,24.9,9.6,0.5,1.6,2.1,2.2,0.68,0.44,0.8,1.8,2.6,12.1
"Tyreke Evans, SG¢Ó",26,0,18.2,9.5,0.2,3.1,3.3,3.5,0.88,0.15,1.5,1.6,2.3,15.9
"Langston Galloway, SG¢Ó",55,0,20.4,8.6,0.4,1.8,2.2,1.2,0.73,0.09,0.5,1.4,2.3,11.2
"Buddy Hield, SG¢Ó",57,37,20.4,8.6,0.3,2.6,2.9,1.4,0.32,0.12,0.8,1.4,1.6,10.0
"Tim Frazier, PG",65,35,23.5,7.1,0.5,2.1,2.7,5.2,0.86,0.09,1.6,2.0,3.3,12.4
"Solomon Hill, SF",80,71,29.7,7.0,0.6,3.2,3.8,1.8,0.90,0.40,1.0,2.3,1.7,8.1
"Dante Cunningham, PF",66,35,25.0,6.6,0.8,3.3,4.2,0.6,0.59,0.42,0.4,1.5,1.3,10.2
"Quinn Cook, PG¢Ó",9,0,12.3,5.8,0.1,0.3,0.4,1.6,0.33,0.00,0.6,0.8,2.8,15.3
"Axel Toupane, SG¢Ó",2,0,20.5,5.5,0.0,0.5,0.5,0.0,0.50,0.50,0.0,2.5,0.0,8.6
"Wayne Selden, G¢Ó",3,3,15.7,5.3,0.0,1.7,1.7,0.3,0.67,0.00,1.0,2.0,0.3,10.0
"Alexis Ajinca, C",39,15,15.0,5.3,1.2,3.4,4.5,0.3,0.51,0.56,0.8,2.0,0.4,12.9
"Cheick Diallo, F",17,0,11.7,5.1,1.4,2.9,4.3,0.2,0.24,0.41,0.4,1.0,0.6,16.9
"Archie Goodwin, SG¢Ó",3,0,10.0,5.0,0.0,0.0,0.0,0.3,0.00,0.33,0.0,0.3,0.0,19.7
"Reggie Williams, SF",6,0,13.2,4.5,0.3,0.7,1.0,0.7,0.50,0.00,0.0,0.3,0.0,11.7
"Donatas Motiejunas, PF",34,0,14.1,4.4,0.8,2.2,3.0,0.9,0.53,0.32,0.9,1.6,1.0,9.1
"Hollis Thompson, SF¢Ó",9,8,21.2,3.8,0.4,2.7,3.1,1.0,0.67,0.00,0.2,1.6,4.5,4.8
"Anthony Brown, SF¢Ó",9,0,15.9,3.8,0.7,2.2,2.9,0.7,0.56,0.11,0.6,1.4,1.2,5.9
"Jarrett Jack, PG",2,0,16.5,3.0,0.0,0.0,0.0,2.5,1.00,0.00,1.5,2.0,1.7,7.7
"Omer Asik, C",31,19,15.5,2.7,1.5,3.7,5.3,0.5,0.16,0.32,0.5,1.6,1.1,9.8
