PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO
"Russell Westbrook, PG",5,5,38.8,37.4,1.8,9.8,11.6,10.8,2.40,0.40,6.0,3.2,1.8
"Andre Roberson, SG",5,5,37.0,11.6,3.6,2.6,6.2,1.8,2.40,3.40,1.4,3.0,1.3
"Victor Oladipo, SG",5,5,36.2,10.8,0.4,5.2,5.6,2.0,1.40,0.60,1.2,3.4,1.7
"Taj Gibson, PF",5,5,23.6,9.8,0.6,3.0,3.6,0.6,0.20,0.00,1.6,2.6,0.4
"Jerami Grant, SF",5,0,22.2,9.2,1.4,2.4,3.8,0.8,0.20,0.40,0.6,1.4,1.3
"Steven Adams, C",5,5,31.4,8.0,3.4,3.4,6.8,1.4,1.20,1.80,0.8,2.8,1.8
"Doug McDermott, SF",5,0,13.2,5.0,0.0,1.0,1.0,0.2,0.20,0.20,0.2,0.4,1.0
"Enes Kanter, C",5,0,9.0,4.8,0.6,1.2,1.8,0.2,0.00,0.80,0.4,1.6,0.5
"Alex Abrines, SG",5,0,16.0,4.8,0.4,1.4,1.8,0.8,0.00,0.00,0.0,1.6,0.0
"Semaj Christon, PG",2,0,10.5,2.5,0.0,1.5,1.5,2.5,0.50,0.00,0.0,0.5,0.0
"Domantas Sabonis, PF",2,0,3.0,2.0,0.0,1.0,1.0,0.0,0.50,0.50,0.0,2.0,0.0
"Norris Cole, PG",4,0,6.3,1.3,0.0,0.3,0.3,0.3,0.00,0.25,0.5,1.0,0.5
"Kyle Singler, SF",1,0,10.0,0.0,0.0,1.0,1.0,0.0,0.00,0.00,0.0,2.0,0.0
