PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
"Kemba Walker, PG",79,79,34.7,23.2,0.6,3.3,3.9,5.5,1.08,0.28,2.1,1.5,2.6,21.4
"Nicolas Batum, SG",77,77,34.0,15.1,0.6,5.6,6.2,5.9,1.12,0.38,2.5,1.4,2.4,15.9
"Frank Kaminsky, C",75,16,26.1,11.7,0.8,3.7,4.5,2.2,0.63,0.45,1.0,1.9,2.1,13.1
"Marvin Williams, PF",76,76,30.2,11.2,1.2,5.4,6.6,1.4,0.76,0.70,0.8,1.8,1.8,13.7
"Marco Belinelli, SG",74,0,24.0,10.5,0.2,2.2,2.4,2.0,0.59,0.12,0.9,1.2,2.1,13.4
"Cody Zeller, C",62,58,27.8,10.3,2.2,4.3,6.5,1.6,1.00,0.94,1.0,3.0,1.5,16.7
"Jeremy Lamb, SG",62,5,18.4,9.7,0.5,3.8,4.3,1.2,0.44,0.37,0.6,1.6,1.9,17.1
"Michael Kidd-Gilchrist, SF",81,81,29.0,9.2,1.9,5.0,7.0,1.4,1.00,0.95,0.7,2.3,2.0,14.3
"Spencer Hawes, PF¢Ó",35,1,17.9,7.3,0.9,3.3,4.2,1.8,0.37,0.74,1.1,1.7,1.6,14.9
"Ramon Sessions, PG",50,1,16.2,6.2,0.2,1.2,1.5,2.6,0.52,0.06,0.9,0.9,2.8,12.3
"Roy Hibbert, C¢Ó",42,13,16.0,5.2,1.3,2.3,3.6,0.5,0.19,1.05,0.7,2.3,0.6,13.5
"Johnny O'Bryant III, PF¢Ó",4,0,8.5,4.5,1.0,1.0,2.0,1.0,0.00,0.00,0.8,1.5,1.3,15.5
"Briante Weber, PG¢Ó",13,0,12.2,3.8,0.6,1.0,1.6,1.3,0.69,0.00,0.4,0.9,3.4,12.7
"Brian Roberts, PG",41,2,10.1,3.5,0.1,0.9,1.0,1.3,0.22,0.02,0.6,0.4,2.0,9.8
"Christian Wood, PF",13,0,8.2,2.7,1.1,1.2,2.2,0.2,0.23,0.46,0.5,0.8,0.3,15.1
"Miles Plumlee, C¢Ó",13,0,13.4,2.4,1.2,2.1,3.2,0.2,0.54,0.31,0.6,1.9,0.4,9.0
"Treveon Graham, SG",27,1,7.0,2.1,0.2,0.6,0.8,0.2,0.22,0.04,0.1,0.7,2.0,10.6
"Mike Tobey, C",2,0,12.5,1.0,1.0,0.5,1.5,0.5,0.00,0.00,0.5,1.0,1.0,-0.1
"Aaron Harrison, SG",5,0,3.4,0.2,0.0,0.6,0.6,0.6,0.00,0.00,0.0,0.4,0.0,-2.2
