PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO
"LeBron James, SF",18,18,41.3,32.8,1.1,8.1,9.1,7.8,1.94,1.28,4.0,2.4,2.0
"Kyrie Irving, PG",18,18,36.3,25.9,0.7,2.1,2.8,5.3,1.28,0.44,2.7,2.1,2.0
"Kevin Love, PF",18,18,32.1,16.8,2.0,8.6,10.6,1.7,1.17,0.89,1.7,2.6,1.0
"Tristan Thompson, C",18,18,31.2,8.2,3.8,4.5,8.3,1.4,0.50,0.72,1.2,2.0,1.2
"JR Smith, SG",18,18,27.1,8.1,0.3,2.1,2.3,0.7,0.72,0.33,0.7,2.3,1.1
"Channing Frye, PF",12,0,12.8,7.3,0.0,1.8,1.8,1.1,0.25,0.33,0.2,0.9,6.5
"Kyle Korver, SG",18,0,18.1,5.8,0.1,1.6,1.7,0.7,0.39,0.28,0.4,1.2,1.9
"Iman Shumpert, SG",17,0,16.2,4.4,0.4,2.4,2.8,0.9,0.59,0.18,0.4,1.9,2.7
"Deron Williams, PG",18,0,14.6,4.3,0.2,1.1,1.3,2.1,0.56,0.06,0.9,1.6,2.2
"Richard Jefferson, SF",14,0,12.8,3.9,0.7,1.1,1.8,0.5,0.14,0.21,0.6,2.1,0.9
"Derrick Williams, PF",8,0,4.8,2.6,0.1,0.3,0.4,0.5,0.00,0.13,0.4,0.0,1.3
"Dahntay Jones, SG",10,0,3.3,1.6,0.1,0.6,0.7,0.1,0.00,0.10,0.1,0.7,1.0
"James Jones, SG",8,0,3.8,0.3,0.1,0.4,0.5,0.0,0.00,0.00,0.3,0.4,0.0
