PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
"Harrison Barnes, SF",79,79,35.5,19.2,1.2,3.8,5.0,1.5,0.82,0.19,1.3,1.6,1.1,16.3
"Dirk Nowitzki, PF",54,54,26.4,14.2,0.4,6.1,6.5,1.5,0.56,0.70,0.9,2.1,1.6,17.1
"Wesley Matthews, SG",73,73,34.2,13.5,0.2,3.3,3.5,2.9,1.05,0.21,1.4,2.2,2.1,11.9
"Deron Williams, PG¢Ó",40,40,29.3,13.1,0.3,2.2,2.6,6.9,0.63,0.05,2.5,2.4,2.8,15.1
"Seth Curry, SG",70,42,29.0,12.8,0.4,2.2,2.6,2.7,1.13,0.10,1.3,1.8,2.0,15.5
"Yogi Ferrell, PG¢Ó",36,29,29.1,11.3,0.4,2.3,2.8,4.3,1.11,0.19,1.6,2.2,2.8,14.1
"J.J. Barea, PG",35,6,22.0,10.9,0.3,2.1,2.4,5.5,0.40,0.03,1.8,0.9,3.1,17.3
"Nerlens Noel, PF¢Ó",22,12,22.0,8.5,2.1,4.7,6.8,0.9,1.00,1.09,1.0,2.5,0.9,19.9
"DeAndre Liggins, SG¢Ó",1,0,25.0,8.0,3.0,4.0,7.0,0.0,2.00,0.00,0.0,3.0,0.0,17.6
"Devin Harris, PG",65,0,16.7,6.7,0.2,1.8,2.0,2.1,0.66,0.11,0.9,1.6,2.4,13.8
"Dwight Powell, PF",77,3,17.3,6.7,1.2,2.8,4.0,0.6,0.79,0.51,0.4,1.8,1.4,17.7
"Justin Anderson, SG¢Ó",51,2,13.9,6.5,0.8,2.2,2.9,0.6,0.55,0.31,0.8,1.3,0.8,14.7
"Jonathan Gibson, PG",17,0,13.6,6.2,0.1,1.2,1.3,1.5,0.47,0.00,1.2,1.2,1.2,9.5
"Quinn Cook, PG¢Ó",5,0,15.4,5.4,0.0,0.6,0.6,2.4,0.20,0.00,1.6,1.2,1.5,7.0
"Jarrod Uthoff, F",9,0,12.8,4.4,0.9,1.7,2.6,1.0,0.22,0.44,0.3,0.9,3.0,14.1
"Pierre Jackson, PG",8,1,10.5,4.4,0.1,1.0,1.1,2.4,0.25,0.00,0.4,0.6,6.3,13.1
"Dorian Finney-Smith, F",81,35,20.3,4.3,0.7,2.1,2.7,0.8,0.64,0.31,0.6,1.5,1.5,7.7
"Andrew Bogut, C¢Ó",26,21,22.4,3.0,2.2,6.2,8.4,1.9,0.50,0.96,1.7,3.2,1.1,9.4
"Salah Mejri, C",73,11,12.4,2.9,1.3,2.9,4.2,0.2,0.44,0.84,0.5,2.1,0.4,14.9
"Nicolas Brussino, SF",54,2,9.6,2.8,0.5,1.3,1.7,0.9,0.31,0.15,0.5,0.8,1.8,10.8
"AJ Hammons, C",22,0,7.4,2.2,0.4,1.3,1.6,0.2,0.05,0.59,0.5,1.0,0.4,8.4
"Quincy Acy, SF¢Ó",6,0,8.0,2.2,0.3,1.0,1.3,0.0,0.00,0.00,0.3,1.5,0.0,-1.4
"Manny Harris, PG",4,0,6.3,2.0,0.8,1.5,2.3,0.5,0.00,0.00,0.5,0.3,1.0,-2.1
"Ben Bentil, PF",3,0,3.3,0.0,0.0,0.7,0.7,0.0,0.00,0.00,0.3,0.3,0.0,-17.5
