PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO
"Kevin Durant, SF",15,15,35.5,28.5,1.1,6.9,7.9,4.3,0.80,1.33,2.5,2.6,1.7
"Stephen Curry, PG",17,17,35.4,28.1,1.3,4.9,6.2,6.7,2.00,0.24,3.4,2.2,2.0
"Klay Thompson, SG",17,17,35.1,15.0,0.6,3.2,3.9,2.1,0.82,0.29,1.4,2.6,1.5
"Draymond Green, PF",17,17,34.9,13.1,1.2,7.9,9.1,6.5,1.82,1.65,2.1,3.5,3.1
"Andre Iguodala, SF",16,0,26.2,7.2,0.6,3.5,4.1,3.2,0.88,0.44,1.0,1.8,3.2
"Ian Clark, SG",16,0,13.7,6.8,0.3,1.4,1.6,0.7,0.38,0.00,0.7,1.1,1.0
"JaVale McGee, C",16,1,9.3,5.9,1.4,1.6,3.0,0.3,0.13,0.94,0.5,1.9,0.5
"Shaun Livingston, PG",14,0,15.7,5.2,0.7,1.4,2.1,1.4,0.36,0.14,0.7,1.7,2.0
"Zaza Pachulia, C",15,15,14.1,5.1,1.2,2.6,3.8,0.8,0.53,0.27,0.9,2.1,0.9
"David West, PF",17,0,13.0,4.5,0.4,2.3,2.7,2.1,0.41,0.76,0.6,1.5,3.6
"Patrick McCaw, G",15,3,12.1,4.1,0.7,1.5,2.2,1.1,0.60,0.20,0.2,0.9,5.3
"James Michael McAdoo, SF",13,0,4.3,1.8,0.4,0.6,1.0,0.0,0.15,0.15,0.1,0.4,0.0
"Damian Jones, F",4,0,5.3,1.8,1.0,0.5,1.5,0.0,0.50,0.25,0.0,0.8,0.0
"Matt Barnes, SF",12,0,5.1,0.8,0.0,0.8,0.8,0.6,0.17,0.00,0.3,0.8,2.3
