PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO
"Chris Paul, PG",7,7,37.1,25.3,0.6,4.4,5.0,9.9,1.71,0.14,2.7,3.4,3.6
"Blake Griffin, PF",3,3,33.0,20.3,1.0,5.0,6.0,2.3,0.67,0.33,2.0,0.7,1.2
"DeAndre Jordan, C",7,7,37.7,15.4,3.6,10.9,14.4,0.7,0.43,0.86,2.4,4.1,0.3
"Jamal Crawford, SG",7,0,28.0,12.6,0.3,1.0,1.3,1.9,0.57,0.14,1.3,1.7,1.4
"JJ Redick, SG",7,7,29.4,9.1,0.0,1.7,1.7,0.9,0.29,0.00,1.9,2.4,0.5
"Austin Rivers, PG",3,2,30.0,8.0,0.3,2.3,2.7,0.7,0.33,0.33,1.7,2.0,0.4
"Luc Mbah a Moute, PF",7,7,32.0,7.6,1.4,3.4,4.9,1.0,1.14,0.57,0.4,2.3,2.3
"Marreese Speights, PF",7,2,14.0,6.6,0.6,2.3,2.9,0.4,0.29,0.43,0.4,1.9,1.0
"Raymond Felton, PG",7,0,18.1,5.6,0.3,1.1,1.4,1.4,0.86,0.00,0.4,1.4,3.3
"Paul Pierce, SF",7,0,14.4,3.0,0.3,1.7,2.0,1.0,0.29,0.00,0.6,1.6,1.8
"Brandon Bass, PF",1,0,4.0,2.0,1.0,0.0,1.0,0.0,1.00,0.00,0.0,0.0,0.0
"Wesley Johnson, SF",3,0,3.7,0.3,0.0,0.7,0.7,0.0,0.33,0.00,0.0,0.7,0.0
