PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO
"Gordon Hayward, SF",11,11,37.4,24.1,0.6,5.5,6.1,3.4,0.91,0.27,2.2,2.1,1.5
"George Hill, PG",8,8,35.1,15.6,1.0,3.1,4.1,3.6,0.25,0.13,1.6,3.1,2.2
"Joe Johnson, SF",11,2,29.6,12.9,0.7,3.2,3.9,2.5,0.55,0.09,1.2,1.9,2.1
"Rudy Gobert, C",9,9,27.3,11.6,2.4,7.4,9.9,1.2,1.00,1.33,1.0,3.3,1.2
"Rodney Hood, SG",11,0,25.2,8.9,0.1,2.6,2.7,1.1,0.45,0.00,0.9,2.7,1.2
"Derrick Favors, PF",11,2,20.5,7.5,1.4,4.1,5.5,0.9,0.73,0.55,0.4,2.3,2.5
"Joe Ingles, SF",11,11,30.3,6.5,0.2,3.5,3.7,3.3,2.00,0.45,1.5,2.5,2.3
"Shelvin Mack, PG",9,3,17.2,6.0,0.3,2.4,2.8,2.0,0.44,0.00,1.0,1.6,2.0
"Boris Diaw, C",11,9,18.5,5.7,0.3,1.6,1.9,2.0,0.64,0.36,1.3,1.1,1.6
"Dante Exum, PG",7,0,12.0,4.6,0.3,0.6,0.9,1.3,0.71,0.00,0.4,1.4,3.0
"Trey Lyles, PF",2,0,5.0,3.5,0.0,1.0,1.0,0.5,0.50,0.00,0.5,0.5,1.0
"Raul Neto, PG",9,0,6.7,2.6,0.0,0.8,0.8,0.4,0.11,0.11,0.3,0.9,1.3
"Joel Bolomboy, PF",2,0,4.5,2.0,0.0,1.0,1.0,0.0,0.00,0.50,0.0,0.0,0.0
"Jeff Withey, C",3,0,7.0,1.7,1.0,0.3,1.3,0.3,0.33,0.33,0.0,1.7,0.0
