PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Isaiah Thomas, PG",7.4,17.4,.425,2.4,7.2,.333,6.1,7.4,0.82,5.0,10.2,.490,1.337,0.49
"Avery Bradley, PG",6.7,15.1,.441,2.2,6.3,.351,1.2,1.5,0.78,4.5,8.8,.506,1.107,0.51
"Al Horford, C",6.2,10.6,.584,1.5,2.9,.519,1.2,1.6,0.76,4.7,7.7,.609,1.426,0.66
"Jae Crowder, SF",4.8,11.1,.435,1.7,4.9,.352,2.2,2.7,0.83,3.1,6.2,.500,1.225,0.51
"Kelly Olynyk, C",3.6,6.9,.512,0.8,2.6,.319,1.2,1.7,0.73,2.8,4.3,.628,1.320,0.57
"Marcus Smart, PG",2.6,7.4,.351,1.6,4.1,.397,1.8,2.8,0.64,1.0,3.3,.295,1.157,0.46
"Gerald Green, SF",2.6,5.5,.472,1.6,3.5,.467,0.6,0.7,0.89,1.0,2.0,.481,1.347,0.62
"Terry Rozier, PG",1.9,4.8,.402,0.8,2.2,.368,0.9,1.2,0.80,1.1,2.6,.432,1.171,0.49
"Jaylen Brown, F",2.0,4.2,.479,0.3,1.4,.217,0.7,1.1,0.67,1.7,2.8,.604,1.197,0.51
"Jonas Jerebko, PF",1.3,2.6,.484,0.4,1.3,.333,0.7,0.7,1.00,0.9,1.3,.625,1.387,0.56
"Tyler Zeller, C",1.2,2.3,.520,0.0,0.0,.000,0.5,0.7,0.75,1.2,2.3,.520,1.280,0.52
"Amir Johnson, PF",1.1,2.1,.500,0.1,0.2,.333,0.4,0.6,0.63,1.0,1.9,.519,1.200,0.52
"Jordan Mickey, PF",1.0,2.5,.400,0.0,0.0,.000,0.0,0.0,0.00,1.0,2.5,.400,.800,0.40
"James Young, SG",0.5,1.5,.333,0.5,1.4,.357,0.0,0.0,0.00,0.0,0.1,.000,1.000,0.50
