PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"LeBron James, SF",12.1,21.3,.565,2.4,5.9,.411,6.3,9.0,0.70,9.7,15.4,.625,1.539,0.62
"Kyrie Irving, PG",9.6,20.6,.468,2.4,6.6,.373,4.2,4.7,0.90,7.2,14.0,.512,1.259,0.53
"Kevin Love, PF",5.3,12.1,.436,2.8,6.2,.450,3.5,4.2,0.84,2.5,5.9,.421,1.390,0.55
"Tristan Thompson, C",3.0,5.1,.587,0.0,0.0,.000,2.2,3.3,0.67,3.0,5.1,.587,1.609,0.59
"JR Smith, SG",2.8,5.5,.505,2.2,4.4,.500,0.3,0.6,0.45,0.6,1.1,.526,1.465,0.71
"Channing Frye, PF",2.6,5.0,.517,1.7,3.3,.513,0.5,0.6,0.86,0.9,1.7,.524,1.467,0.68
"Kyle Korver, SG",1.9,4.4,.425,1.5,3.8,.391,0.6,0.6,1.00,0.4,0.6,.636,1.313,0.59
"Iman Shumpert, SG",1.5,3.5,.417,0.6,1.5,.385,0.8,1.0,0.82,0.9,2.0,.441,1.233,0.50
"Deron Williams, PG",1.6,3.6,.438,0.7,1.7,.387,0.6,0.6,0.91,0.9,1.9,.485,1.219,0.53
"Richard Jefferson, SF",1.1,2.7,.421,0.4,1.4,.263,1.3,2.0,0.64,0.7,1.3,.579,1.447,0.49
"Derrick Williams, PF",1.0,1.9,.533,0.4,0.6,.600,0.3,0.3,1.00,0.6,1.3,.500,1.400,0.63
"Dahntay Jones, SG",0.5,1.0,.500,0.1,0.2,.500,0.5,0.5,1.00,0.4,0.8,.500,1.600,0.55
"James Jones, SG",0.1,0.6,.200,0.0,0.4,.000,0.0,0.0,0.00,0.1,0.2,.500,.400,0.20
