PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Danilo Gallinari, SF",5.3,11.9,.447,2.0,5.1,.389,5.5,6.1,0.90,3.3,6.8,.491,1.527,0.53
"Nikola Jokic, C",6.8,11.7,.578,0.6,1.9,.324,2.6,3.1,0.82,6.2,9.8,.628,1.430,0.60
"Wilson Chandler, SF",6.1,13.2,.461,1.5,4.6,.337,2.0,2.7,0.73,4.6,8.6,.527,1.190,0.52
"Gary Harris, SG",5.6,11.2,.502,1.9,4.5,.420,1.8,2.4,0.78,3.7,6.7,.558,1.336,0.59
"Will Barton, SG",4.9,11.1,.443,1.5,3.9,.370,2.4,3.2,0.75,3.4,7.2,.483,1.231,0.51
"Emmanuel Mudiay, PG",3.8,10.0,.378,1.0,3.2,.315,2.4,3.0,0.78,2.8,6.8,.408,1.094,0.43
"Jamal Murray, G",3.6,8.9,.404,1.4,4.2,.334,1.3,1.5,0.88,2.2,4.7,.466,1.111,0.48
"Kenneth Faried, PF",3.7,6.8,.548,0.0,0.1,.000,2.1,3.1,0.69,3.7,6.7,.556,1.411,0.55
"Jameer Nelson, PG",3.6,8.1,.444,1.4,3.6,.388,0.6,0.8,0.71,2.2,4.5,.489,1.137,0.53
"Mason Plumlee, C¢Ó",3.7,6.7,.547,0.0,0.0,.000,1.7,2.8,0.62,3.7,6.7,.550,1.354,0.55
"Jusuf Nurkic, C¢Ó",3.4,6.6,.507,0.0,0.0,.000,1.2,2.5,0.50,3.4,6.6,.507,1.201,0.51
"Darrell Arthur, PF",2.3,5.2,.442,1.3,2.9,.453,0.5,0.5,0.86,1.0,2.3,.429,1.219,0.57
"Juan Hernangomez, PF",1.6,3.6,.451,0.7,1.8,.407,0.9,1.2,0.75,0.9,1.8,.495,1.362,0.55
"Malik Beasley, SG",1.5,3.3,.452,0.4,1.3,.321,0.4,0.5,0.80,1.1,2.0,.533,1.137,0.51
"Johnny O'Bryant III, PF¢Ó",1.0,2.1,.467,0.3,0.4,.667,0.6,0.6,1.00,0.7,1.7,.417,1.333,0.53
"Jarnell Stokes, PF",0.5,0.5,1.000,0.0,0.0,.000,0.5,1.0,0.50,0.5,0.5,1.000,3.000,1.00
"Mike Miller, SG",0.5,1.2,.391,0.4,1.0,.400,0.1,0.1,1.00,0.1,0.2,.333,1.217,0.57
"Alonzo Gee, SF",0.2,1.1,.214,0.0,0.2,.000,0.4,0.7,0.56,0.2,0.9,.273,.786,0.21
"Roy Hibbert, C¢Ó",0.3,0.5,.667,0.0,0.0,.000,0.0,0.0,0.00,0.3,0.5,.667,1.333,0.67
¢Ó Midseason Trades: Mason Plumlee  (54 games POR); Jusuf Nurkic  (20 games POR); Johnny O'Bryant III  (4 games CHA); Roy Hibbert  (42 games CHA),,,,,,,,,,,,,,
