PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Kevin Durant, SF",9.9,17.9,.556,2.5,5.7,.442,6.1,6.9,0.89,7.4,12.2,.610,1.597,0.63
"Stephen Curry, PG",8.9,18.4,.484,4.2,10.1,.419,6.1,6.7,0.90,4.7,8.3,.564,1.529,0.60
"Klay Thompson, SG",5.5,13.9,.397,2.4,6.2,.387,1.5,1.9,0.79,3.1,7.7,.405,1.076,0.48
"Draymond Green, PF",4.2,9.5,.447,1.9,4.6,.410,2.7,3.9,0.69,2.3,4.9,.482,1.379,0.55
"Andre Iguodala, SF",2.9,6.3,.455,0.5,2.6,.190,0.9,1.6,0.58,2.4,3.7,.644,1.139,0.50
"Ian Clark, SG",2.5,4.9,.506,0.8,2.3,.361,1.0,1.1,0.94,1.7,2.6,.628,1.380,0.59
"JaVale McGee, C",2.6,3.5,.732,0.0,0.0,.000,0.8,1.1,0.72,2.6,3.5,.732,1.696,0.73
"Shaun Livingston, PG",2.4,4.2,.576,0.0,0.0,.000,0.4,0.5,0.71,2.4,4.2,.576,1.237,0.58
"Zaza Pachulia, C",2.1,4.0,.533,0.0,0.1,.000,0.9,1.1,0.76,2.1,3.9,.542,1.283,0.53
"David West, PF",2.0,3.5,.576,0.1,0.1,.500,0.4,0.5,0.78,1.9,3.4,.579,1.288,0.58
"Patrick McCaw, G",1.4,3.2,.438,0.5,1.5,.348,0.7,0.9,0.85,0.9,1.7,.520,1.271,0.52
"James Michael McAdoo, SF",0.7,1.3,.529,0.2,0.4,.400,0.3,0.5,0.67,0.5,0.9,.583,1.412,0.59
"Damian Jones, F",0.8,1.8,.429,0.0,0.0,.000,0.3,0.5,0.50,0.8,1.8,.429,1.000,0.43
"Matt Barnes, SF",0.3,1.3,.267,0.1,0.7,.125,0.0,0.0,0.00,0.2,0.6,.429,.600,0.30
