PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"James Harden, SG",8.2,19.8,.413,2.9,10.5,.278,9.2,10.5,0.88,5.3,9.3,.563,1.436,0.49
"Eric Gordon, SG",4.6,11.0,.421,2.5,6.4,.386,1.2,1.6,0.72,2.1,4.6,.471,1.174,0.53
"Lou Williams, SG",4.5,10.7,.424,1.1,3.5,.308,2.4,2.6,0.90,3.4,7.2,.481,1.169,0.47
"Patrick Beverley, PG",4.1,9.9,.413,1.9,4.7,.404,1.0,1.3,0.79,2.2,5.2,.421,1.119,0.51
"Trevor Ariza, SF",3.7,8.8,.423,2.1,5.5,.377,1.2,1.3,0.93,1.6,3.3,.500,1.216,0.54
"Clint Capela, C",4.2,7.5,.561,0.0,0.1,.000,2.2,3.5,0.62,4.2,7.4,.568,1.415,0.56
"Nene Hilario, C",4.0,5.7,.706,0.0,0.1,.000,2.0,3.4,0.58,4.0,5.6,.720,1.765,0.71
"Ryan Anderson, PF",3.3,8.4,.391,1.5,5.5,.283,1.3,1.5,0.88,1.8,2.9,.594,1.120,0.48
"Bobby Brown, PG",2.0,4.0,.500,1.0,2.2,.455,0.0,0.0,0.00,1.0,1.8,.556,1.250,0.63
"Kyle Wiltjer, F",1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,0.00,0.0,0.0,.000,3.000,1.50
"Sam Dekker, SF",0.8,3.0,.250,0.8,1.5,.500,0.0,0.0,0.00,0.0,1.5,.000,.750,0.38
"Montrezl Harrell, PF",0.2,0.6,.333,0.0,0.0,.000,0.6,1.2,0.50,0.2,0.6,.333,1.667,0.33
"Troy Williams, SF",0.0,1.8,.000,0.0,1.0,.000,0.2,0.4,0.50,0.0,0.8,.000,.111,0.00
"Isaiah Taylor, PG",0.0,0.7,.000,0.0,0.3,.000,0.0,0.0,0.00,0.0,0.4,.000,.000,0.00
