PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Chris Paul, PG",9.6,19.3,.496,2.0,5.4,.368,4.1,4.7,0.88,7.6,13.9,.546,1.311,0.55
"Blake Griffin, PF",8.3,17.0,.490,1.3,2.0,.667,2.3,2.3,1.00,7.0,15.0,.467,1.196,0.53
"DeAndre Jordan, C",6.1,8.7,.705,0.0,0.1,.000,3.1,8.0,0.39,6.1,8.6,.717,1.770,0.70
"Jamal Crawford, SG",5.0,11.9,.422,0.9,3.6,.240,1.7,1.7,1.00,4.1,8.3,.500,1.060,0.46
"JJ Redick, SG",2.7,7.1,.380,1.3,3.7,.346,2.4,2.9,0.85,1.4,3.4,.417,1.280,0.47
"Austin Rivers, PG",3.0,8.7,.346,1.3,4.3,.308,0.7,0.7,1.00,1.7,4.4,.385,.923,0.42
"Luc Mbah a Moute, PF",2.4,6.1,.395,0.7,2.3,.313,2.0,2.9,0.70,1.7,3.8,.444,1.233,0.45
"Marreese Speights, PF",2.3,5.3,.432,1.0,2.9,.350,1.0,1.4,0.70,1.3,2.4,.529,1.243,0.53
"Raymond Felton, PG",2.1,4.6,.469,0.6,1.3,.444,0.7,0.7,1.00,1.5,3.3,.478,1.219,0.53
"Paul Pierce, SF",1.1,2.6,.444,0.6,1.4,.400,0.1,0.1,1.00,0.5,1.2,.500,1.167,0.56
"Brandon Bass, PF",1.0,3.0,.333,0.0,0.0,.000,0.0,0.0,0.00,1.0,3.0,.333,.667,0.33
"Wesley Johnson, SF",0.0,0.0,.000,0.0,0.0,.000,0.3,0.7,0.50,0.0,0.0,.000,.000,0.00
