PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Karl-Anthony Towns, C",9.8,18.0,.542,1.2,3.4,.367,4.3,5.2,0.83,8.6,14.6,.582,1.393,0.58
"Andrew Wiggins, SG",8.6,19.1,.452,1.3,3.5,.356,5.0,6.6,0.76,7.3,15.6,.473,1.231,0.48
"Zach LaVine, PG",6.9,15.1,.459,2.6,6.6,.387,2.5,3.0,0.84,4.3,8.5,.515,1.252,0.54
"Ricky Rubio, PG",3.5,8.7,.402,0.8,2.6,.306,3.4,3.8,0.89,2.7,6.1,.443,1.286,0.45
"Gorgui Dieng, PF",4.0,8.1,.502,0.2,0.5,.372,1.7,2.0,0.81,3.8,7.6,.511,1.234,0.51
"Shabazz Muhammad, SF",3.7,7.7,.482,0.6,1.9,.336,1.9,2.4,0.77,3.1,5.8,.529,1.291,0.52
"Nemanja Bjelica, PF",2.3,5.5,.424,0.9,2.7,.316,0.7,0.9,0.74,1.4,2.8,.531,1.132,0.50
"Brandon Rush, SG",1.5,4.0,.374,0.9,2.4,.386,0.3,0.4,0.72,0.6,1.6,.356,1.053,0.49
"Kris Dunn, PG",1.5,4.0,.377,0.3,0.9,.288,0.5,0.8,0.61,1.2,3.1,.404,.936,0.41
"Lance Stephenson, SG¢Ó",1.7,3.5,.476,0.0,0.3,.000,0.2,0.3,0.50,1.7,3.2,.526,1.000,0.48
"Adreian Payne, PF",1.3,3.0,.426,0.2,0.8,.200,0.8,1.1,0.74,1.1,2.2,.513,1.167,0.45
"Tyus Jones, PG",1.3,3.0,.414,0.4,1.2,.356,0.6,0.7,0.77,0.9,1.8,.454,1.155,0.49
"Omri Casspi, SF¢Ó",1.5,3.0,.487,0.2,0.8,.200,0.4,0.6,0.63,1.3,2.2,.586,1.154,0.51
"Jordan Hill, C",0.7,1.9,.385,0.0,0.0,.000,0.3,0.3,1.00,0.7,1.9,.385,.923,0.38
"Cole Aldrich, C",0.7,1.4,.523,0.0,0.0,.000,0.2,0.4,0.68,0.7,1.4,.523,1.221,0.52
"John Lucas III, PG",0.2,0.8,.250,0.0,0.2,.000,0.0,0.0,0.00,0.2,0.6,.333,.500,0.25
"¢Ó Midseason Trades: Lance Stephenson  (6 games NO, 6 games IND); Omri Casspi  (1 games NO, 22 games SAC)",,,,,,,,,,,,,,
