PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Russell Westbrook, PG",11.8,30.4,.388,2.6,9.8,.265,11.2,14.0,0.80,9.2,20.6,.447,1.230,0.43
"Andre Roberson, SG",4.8,9.2,.522,1.4,3.4,.412,0.6,4.2,0.14,3.4,5.8,.586,1.261,0.60
"Victor Oladipo, SG",4.2,12.2,.344,1.2,5.0,.240,1.2,1.2,1.00,3.0,7.2,.417,.885,0.39
"Taj Gibson, PF",4.2,7.0,.600,0.0,0.0,.000,1.4,1.6,0.88,4.2,7.0,.600,1.400,0.60
"Jerami Grant, SF",3.8,6.2,.613,0.4,1.2,.333,1.2,1.4,0.86,3.4,5.0,.680,1.484,0.65
"Steven Adams, C",3.6,5.6,.643,0.0,0.0,.000,0.8,2.2,0.36,3.6,5.6,.643,1.429,0.64
"Doug McDermott, SF",1.8,3.6,.500,1.4,2.6,.538,0.0,0.0,0.00,0.4,1.0,.400,1.389,0.69
"Enes Kanter, C",2.0,5.2,.385,0.0,0.0,.000,0.8,0.8,1.00,2.0,5.2,.385,.923,0.38
"Alex Abrines, SG",1.6,4.6,.348,1.0,3.4,.294,0.6,0.8,0.75,0.6,1.2,.500,1.043,0.46
"Semaj Christon, PG",1.0,2.5,.400,0.5,1.5,.333,0.0,0.0,0.00,0.5,1.0,.500,1.000,0.50
"Domantas Sabonis, PF",0.0,1.5,.000,0.0,0.5,.000,2.0,2.0,1.00,0.0,1.0,.000,1.333,0.00
"Norris Cole, PG",0.5,2.0,.250,0.3,1.0,.250,0.0,0.0,0.00,0.2,1.0,.250,.625,0.31
"Kyle Singler, SF",0.0,1.0,.000,0.0,0.0,.000,0.0,0.0,0.00,0.0,1.0,.000,.000,0.00
