PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Evan Fournier, SG",6.0,13.7,.439,1.9,5.3,.356,3.3,4.1,0.81,4.1,8.4,.491,1.255,0.51
"Serge Ibaka, PF¢Ó",6.1,12.6,.488,1.5,3.8,.388,1.4,1.6,0.85,4.6,8.8,.532,1.203,0.55
"Nikola Vucevic, C",6.4,13.7,.468,0.3,1.0,.307,1.4,2.1,0.67,6.1,12.7,.481,1.063,0.48
"Elfrid Payton, PG",5.2,11.1,.471,0.5,1.8,.274,1.8,2.6,0.69,4.7,9.3,.509,1.147,0.49
"Aaron Gordon, PF",4.9,10.8,.454,1.0,3.3,.288,2.0,2.7,0.72,3.9,7.5,.528,1.178,0.50
"Terrence Ross, SF¢Ó",4.8,11.1,.431,1.9,5.6,.341,1.0,1.1,0.85,2.9,5.5,.523,1.120,0.52
"Jeff Green, SF",3.2,8.1,.394,0.8,2.8,.275,2.1,2.4,0.86,2.4,5.3,.458,1.143,0.44
"Jodie Meeks, SG",2.9,7.1,.402,1.6,3.8,.409,1.8,2.1,0.88,1.3,3.3,.395,1.277,0.51
"D.J. Augustin, PG",2.5,6.6,.377,1.2,3.5,.347,1.7,2.1,0.81,1.3,3.1,.412,1.191,0.47
"Bismack Biyombo, C",2.2,4.2,.528,0.0,0.0,.000,1.5,2.9,0.53,2.2,4.2,.528,1.425,0.53
"Mario Hezonja, SG",1.8,5.1,.355,0.7,2.2,.299,0.6,0.8,0.80,1.1,2.9,.398,.961,0.42
"C.J. Watson, PG",1.5,4.0,.387,0.5,1.7,.305,0.9,1.1,0.86,1.0,2.3,.448,1.133,0.45
"Anthony Brown, SF¢Ó",2.0,4.5,.444,0.5,1.5,.333,0.0,0.0,0.00,1.5,3.0,.500,1.000,0.50
"Marcus Georges-Hunt, SG",0.4,1.4,.286,0.2,0.4,.500,1.8,2.0,0.90,0.2,1.0,.200,2.000,0.36
"Damjan Rudez, SF",0.7,2.0,.352,0.4,1.4,.313,0.0,0.0,0.00,0.3,0.6,.458,.932,0.47
"Stephen Zimmerman, C",0.5,1.6,.323,0.0,0.0,.000,0.2,0.3,0.60,0.5,1.6,.323,.742,0.32
"CJ Wilcox, SG",0.4,1.4,.258,0.1,0.7,.200,0.1,0.1,1.00,0.3,0.7,.313,.677,0.31
"Arinze Onuaku, PF",0.3,0.5,.500,0.0,0.0,.000,0.0,0.0,0.00,0.3,0.5,.500,1.000,0.50
"Patricio Garino, SG",0.0,1.4,.000,0.0,1.0,.000,0.0,0.0,0.00,0.0,0.4,.000,.000,0.00
¢Ó Midseason Trades: Serge Ibaka  (23 games TOR); Terrence Ross  (54 games TOR); Anthony Brown  (9 games NO),,,,,,,,,,,,,,
