PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Devin Booker, SG",7.8,18.3,.423,1.9,5.2,.363,4.7,5.7,0.83,5.9,13.1,.447,1.206,0.47
"Eric Bledsoe, PG",6.8,15.7,.434,1.6,4.7,.335,5.9,6.9,0.85,5.2,11.0,.477,1.344,0.48
"TJ Warren, SF",6.1,12.3,.495,0.4,1.5,.265,1.8,2.3,0.77,5.7,10.8,.527,1.168,0.51
"Brandon Knight, PG",3.9,9.7,.398,0.8,2.6,.324,2.4,2.9,0.86,3.1,7.1,.425,1.133,0.44
"Marquese Chriss, F",3.5,7.7,.449,0.9,2.7,.321,1.4,2.2,0.62,2.6,5.0,.520,1.191,0.51
"Tyson Chandler, C",3.3,4.9,.671,0.0,0.0,.000,1.9,2.6,0.73,3.3,4.9,.671,1.741,0.67
"Alex Len, C",3.0,6.0,.497,0.0,0.2,.250,1.9,2.7,0.72,3.0,5.8,.503,1.324,0.50
"Alan Williams, PF",2.9,5.7,.517,0.0,0.0,.000,1.5,2.4,0.63,2.9,5.7,.519,1.296,0.52
"Tyler Ulis, G",3.0,7.2,.421,0.3,1.3,.266,0.9,1.2,0.77,2.7,5.9,.455,1.016,0.45
"PJ Tucker, SF¢Ó",2.6,6.2,.415,0.8,2.4,.338,1.1,1.4,0.79,1.8,3.8,.463,1.133,0.48
"Jared Dudley, SF",2.5,5.4,.454,1.2,3.2,.379,0.7,1.0,0.66,1.3,2.2,.559,1.254,0.57
"Leandro Barbosa, SG",2.6,5.9,.439,0.5,1.5,.357,0.6,0.7,0.89,2.1,4.4,.466,1.069,0.48
"Derrick Jones Jr., SF",2.1,3.8,.562,0.1,0.3,.273,0.9,1.3,0.71,2.0,3.5,.591,1.388,0.57
"Jarell Eddie, SG",1.2,3.8,.316,0.8,3.2,.250,1.6,1.8,0.89,0.4,0.6,.667,1.263,0.42
"Dragan Bender, PF",1.3,3.7,.354,0.7,2.3,.277,0.1,0.3,0.36,0.6,1.4,.483,.907,0.44
"John Jenkins, SG",0.5,1.3,.400,0.3,0.5,.500,0.5,0.5,1.00,0.2,0.8,.333,1.400,0.50
"Elijah Millsap, SG",0.5,3.5,.143,0.0,1.0,.000,0.5,1.0,0.50,0.5,2.5,.200,.429,0.14
"Ronnie Price, PG",0.3,1.7,.167,0.2,1.2,.176,0.2,0.3,0.75,0.1,0.5,.143,.583,0.23
¢Ó Midseason Trades: PJ Tucker  (24 games TOR),,,,,,,,,,,,,,
