PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"John Wall, PG",9.8,21.6,.452,1.6,4.7,.344,6.0,7.2,0.84,8.2,16.9,.482,1.256,0.49
"Bradley Beal, SG",9.4,19.9,.471,2.2,7.8,.287,3.8,4.7,0.82,7.2,12.1,.589,1.247,0.53
"Otto Porter Jr., SF",4.5,8.4,.532,0.8,3.0,.282,2.4,2.7,0.89,3.7,5.4,.671,1.450,0.58
"Markieff Morris, PF",4.5,11.2,.407,1.1,2.9,.368,1.9,2.4,0.81,3.4,8.3,.421,1.083,0.46
"Bojan Bogdanovic, SG",2.8,6.7,.414,1.2,3.5,.356,2.1,2.5,0.84,1.6,3.2,.476,1.322,0.51
"Marcin Gortat, C",3.6,7.2,.505,0.0,0.0,.000,0.8,1.4,0.61,3.6,7.2,.505,1.129,0.51
"Kelly Oubre Jr., SF",2.2,5.1,.426,0.9,2.5,.367,0.6,0.8,0.70,1.3,2.6,.484,1.148,0.52
"Jason Smith, PF",1.5,3.0,.487,0.2,0.8,.300,0.8,1.1,0.71,1.3,2.2,.552,1.308,0.53
"Brandon Jennings, PG",1.1,2.8,.389,0.2,1.0,.154,0.5,0.6,0.88,0.9,1.8,.522,1.028,0.42
"Ian Mahinmi, C",1.0,1.8,.556,0.0,0.0,.000,0.8,2.2,0.36,1.0,1.8,.556,1.556,0.56
"Sheldon Mac, SG",0.7,1.3,.556,0.3,0.7,.400,0.3,0.3,1.00,0.4,0.6,.750,1.556,0.67
"Tomas Satoransky, SG",0.3,0.6,.500,0.0,0.0,.000,0.2,0.5,0.40,0.3,0.6,.500,1.333,0.50
"Trey Burke, PG",0.0,1.3,.000,0.0,0.7,.000,0.0,0.0,0.00,0.0,0.6,.000,.000,0.00
"Daniel Ochefu, PF",0.0,0.3,.000,0.0,0.0,.000,0.0,0.0,0.00,0.0,0.3,.000,.000,0.00
