PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO
"Damian Lillard, PG",4,4,37.8,27.8,1.0,3.5,4.5,3.3,1.25,0.50,3.3,2.8,1.0
"CJ McCollum, SG",4,4,35.0,22.5,2.0,4.0,6.0,1.0,1.00,0.50,3.8,2.5,0.3
"Al-Farouq Aminu, SF",4,0,28.3,12.0,1.3,5.3,6.5,1.0,0.75,1.00,2.3,2.3,0.4
"Evan Turner, SG",4,4,31.0,10.3,0.8,5.0,5.8,3.8,1.75,0.50,1.8,1.8,2.1
"Maurice Harkless, SF",4,4,24.8,7.3,1.8,1.5,3.3,0.8,1.25,1.25,0.3,3.5,3.0
"Shabazz Napier, PG",4,0,11.8,6.8,0.3,0.8,1.0,0.8,0.50,0.00,0.0,1.5,0.0
"Allen Crabbe, SG",4,0,23.0,5.5,0.0,3.0,3.0,0.5,0.25,0.00,0.3,2.3,2.0
"Noah Vonleh, PF",4,2,25.0,4.5,2.3,5.0,7.3,2.0,0.25,0.75,1.5,2.8,1.3
"Jake Layman, F",2,0,8.0,3.0,0.0,0.5,0.5,0.5,0.50,0.00,0.0,1.0,0.0
"Pat Connaughton, SG",3,0,8.0,2.3,0.3,2.0,2.3,1.3,0.00,0.00,0.0,0.0,0.0
"Jusuf Nurkic, C",1,1,17.0,2.0,0.0,11.0,11.0,4.0,0.00,1.00,3.0,1.0,1.3
"Tim Quarterman, SG",2,0,3.5,1.5,0.0,0.0,0.0,0.5,0.00,0.00,0.0,0.5,0.0
"Meyers Leonard, PF",3,1,10.3,0.7,0.7,2.0,2.7,0.3,0.00,0.00,1.3,2.0,0.3
