PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO
"Kawhi Leonard, SF",12,12,35.8,27.7,1.6,6.2,7.8,4.6,1.67,0.50,2.2,1.8,2.1
"LaMarcus Aldridge, PF",16,16,33.6,16.5,2.7,4.8,7.4,1.5,0.63,1.00,1.8,2.6,0.9
"Tony Parker, PG",8,8,26.4,15.9,0.3,2.3,2.5,3.1,0.50,0.00,1.5,1.3,2.1
"Jonathon Simmons, SG",15,4,20.4,10.5,0.6,1.3,1.9,1.9,0.60,0.13,0.7,2.0,2.6
"Patty Mills, PG",16,6,26.0,10.3,0.3,1.8,2.1,2.7,0.81,0.06,1.3,2.1,2.0
"Danny Green, SG",16,16,27.3,7.8,0.8,2.8,3.6,1.4,0.63,0.94,1.1,1.9,1.4
"Pau Gasol, C",16,7,22.8,7.7,2.4,4.7,7.1,1.9,0.44,0.94,1.1,2.2,1.7
"Manu Ginobili, SG",16,1,17.8,6.6,0.6,1.8,2.4,2.4,1.00,0.13,0.8,1.8,3.3
"Dejounte Murray, G",11,2,15.3,5.7,0.4,2.1,2.5,2.5,1.45,0.09,1.5,1.3,1.7
"Kyle Anderson, SF",15,1,13.0,5.5,0.8,2.3,3.1,1.7,0.67,0.13,0.5,0.5,3.6
"David Lee, PF",15,4,16.3,4.1,1.3,2.5,3.8,0.7,0.27,0.33,0.4,1.3,1.8
"Dewayne Dedmon, C",12,3,8.1,3.8,1.8,2.2,3.9,0.3,0.17,0.25,0.7,1.3,0.4
"Bryn Forbes, SG",6,0,12.2,3.3,0.0,1.0,1.0,0.5,0.00,0.17,0.3,0.8,1.5
"Davis Bertans, SF",13,0,8.6,2.8,0.4,1.2,1.5,0.2,0.23,0.31,0.5,0.5,0.5
"Joel Anthony, C",3,0,5.0,2.0,0.7,0.7,1.3,0.0,0.00,0.67,0.3,0.7,0.0
