PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
"DeMarcus Cousins, C¢Ó",55,55,34.4,27.8,2.1,8.5,10.6,4.8,1.36,1.35,3.8,3.7,1.3,26.6
"Rudy Gay, SF",30,30,33.8,18.7,1.2,5.2,6.3,2.8,1.47,0.87,2.5,2.6,1.1,18.0
"Buddy Hield, SG¢Ó",25,18,29.1,15.1,0.6,3.5,4.2,1.8,0.80,0.08,2.1,1.4,0.8,15.0
"Darren Collison, PG",68,63,30.3,13.2,0.3,1.9,2.2,4.6,0.99,0.13,1.7,1.8,2.7,15.4
"Tyreke Evans, SG¢Ó",14,6,22.4,11.6,0.5,3.1,3.6,2.4,0.86,0.36,1.6,1.4,1.5,15.0
"Ty Lawson, PG",69,25,25.1,9.9,0.6,2.0,2.6,4.8,1.07,0.09,1.9,1.7,2.6,15.4
"Skal Labissiere, F",33,12,18.5,8.8,1.5,3.4,4.9,0.8,0.48,0.39,1.1,1.9,0.7,16.9
"Arron Afflalo, SG",61,45,25.9,8.4,0.1,1.9,2.0,1.3,0.34,0.11,0.7,1.7,1.9,9.0
"Willie Cauley-Stein, C",75,21,18.9,8.1,1.1,3.4,4.5,1.1,0.71,0.59,0.9,2.0,1.2,16.4
"Ben McLemore, SG",61,27,19.3,8.1,0.3,1.8,2.1,0.8,0.48,0.10,1.0,1.8,0.8,9.9
"Garrett Temple, SG",65,20,26.6,7.8,0.5,2.3,2.8,2.6,1.29,0.43,1.2,2.2,2.2,11.2
"Matt Barnes, SF¢Ó",54,13,25.3,7.6,1.0,4.4,5.4,2.8,0.67,0.31,1.5,2.6,1.8,10.3
"Anthony Tolliver, PF",65,9,22.7,7.1,0.8,2.9,3.6,1.2,0.52,0.31,0.9,1.7,1.4,11.2
"Kosta Koufos, C",71,62,20.0,6.6,1.7,4.0,5.7,0.7,0.51,0.68,0.9,2.4,0.8,13.8
"Jordan Farmar, PG",2,0,17.5,6.0,0.5,1.0,1.5,4.5,1.00,0.00,1.5,0.5,3.0,14.4
"Langston Galloway, SG¢Ó",19,2,19.7,6.0,0.4,1.5,1.8,1.5,0.32,0.05,0.9,1.1,1.6,8.1
"Omri Casspi, SF¢Ó",22,2,18.0,5.9,0.9,3.2,4.1,1.2,0.45,0.05,0.8,1.0,1.5,11.4
"Georgios Papagiannis, C",22,0,16.1,5.6,1.1,2.8,3.9,0.9,0.14,0.77,1.1,2.0,0.8,12.7
"Malachi Richardson, SG",22,0,9.0,3.6,0.1,0.9,1.0,0.5,0.23,0.05,0.4,1.0,1.4,9.7
