PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO
"Mike Conley, PG",6,6,37.3,24.7,0.2,3.2,3.3,7.0,1.67,0.50,2.0,1.8,3.5
"Marc Gasol, C",6,6,40.0,19.3,1.2,5.3,6.5,4.2,0.33,0.67,2.5,3.7,1.7
"Zach Randolph, PF",6,4,31.8,13.2,1.5,6.7,8.2,0.7,0.83,0.33,1.2,2.3,0.6
"Vince Carter, SG",6,6,32.5,9.2,0.7,2.7,3.3,1.5,0.33,0.00,1.7,2.5,0.9
"James Ennis III, SF",6,4,26.5,8.3,1.3,2.8,4.2,1.2,0.83,0.33,1.2,3.3,1.0
"JaMychal Green, PF",6,2,19.7,7.3,0.5,2.8,3.3,0.3,0.00,0.00,0.7,3.5,0.5
"Andrew Harrison, PG",6,0,19.8,6.5,0.7,1.2,1.8,2.2,0.50,0.17,0.5,2.3,4.3
"Wayne Selden, G",6,2,17.7,3.8,0.5,1.0,1.5,1.2,0.17,0.17,0.3,1.3,3.5
"Deyonta Davis, F",3,0,3.7,2.3,0.7,1.0,1.7,0.0,0.00,0.00,0.0,0.7,0.0
"Brandan Wright, PF",2,0,6.0,2.0,0.5,0.5,1.0,0.0,0.00,1.00,0.5,0.0,0.0
"Troy Daniels, SG",6,0,11.3,1.5,0.2,0.7,0.8,0.3,0.33,0.00,0.3,0.2,1.0
"Jarell Martin, PF",3,0,3.3,0.7,0.7,0.7,1.3,0.0,0.33,0.00,0.0,0.7,0.0
"Wade Baldwin IV, PG",3,0,4.0,0.7,0.3,1.0,1.3,0.7,0.00,0.00,0.0,1.0,0.0
