PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
"Goran Dragic, PG",73,73,33.7,20.3,0.8,3.0,3.8,5.8,1.22,0.18,2.9,2.7,2.0,19.8
"Hassan Whiteside, C",77,77,32.6,17.0,3.8,10.3,14.1,0.7,0.74,2.10,2.0,2.9,0.4,22.7
"Dion Waiters, SG",46,43,30.1,15.8,0.4,2.9,3.3,4.3,0.91,0.43,2.2,2.1,1.9,14.6
"Tyler Johnson, SG",73,0,29.8,13.7,0.7,3.3,4.0,3.2,1.15,0.60,1.2,2.4,2.6,15.9
"James Johnson, PF",76,5,27.4,12.8,0.9,4.1,4.9,3.6,1.00,1.13,2.3,2.6,1.6,17.0
"Justise Winslow, SF",18,15,34.7,10.9,1.3,3.9,5.2,3.7,1.44,0.33,1.8,2.9,2.0,8.2
"Wayne Ellington, SG",62,13,24.2,10.5,0.3,1.8,2.1,1.1,0.56,0.06,0.5,1.1,2.3,12.7
"Josh Richardson, SG",53,34,30.5,10.2,0.7,2.5,3.2,2.6,1.13,0.75,1.2,2.5,2.1,10.7
"Rodney McGruder, SG",78,65,25.2,6.4,1.2,2.1,3.3,1.6,0.59,0.23,0.7,1.8,2.2,9.1
"Derrick Williams, PF¢Ó",25,11,15.1,5.9,0.6,2.3,2.9,0.6,0.36,0.20,0.6,1.3,1.0,10.2
"Willie Reed, PF",71,5,14.5,5.3,1.8,2.9,4.7,0.4,0.25,0.68,0.4,1.9,0.8,17.1
"Josh McRoberts, PF",22,14,17.3,4.9,1.0,2.3,3.4,2.3,0.45,0.18,1.0,1.4,2.2,9.8
"Luke Babbitt, SF",68,55,15.7,4.8,0.2,1.9,2.1,0.5,0.29,0.16,0.4,1.7,1.4,8.3
"Okaro White, PF",35,0,13.5,2.8,0.7,1.6,2.3,0.6,0.29,0.29,0.5,1.5,1.2,7.5
"Udonis Haslem, PF",16,0,8.1,1.9,0.5,1.8,2.3,0.4,0.38,0.06,0.5,1.4,0.8,8.8
