PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
"Evan Fournier, SG",68,66,32.9,17.2,0.6,2.4,3.1,3.0,0.97,0.06,2.1,2.6,1.4,14.0
"Serge Ibaka, PF¢Ó",56,56,30.5,15.1,1.8,5.0,6.8,1.1,0.61,1.63,1.2,2.5,0.9,17.5
"Nikola Vucevic, C",75,55,28.8,14.6,2.3,8.0,10.4,2.8,1.01,0.99,1.6,2.4,1.8,19.2
"Elfrid Payton, PG",82,58,29.4,12.8,1.1,3.6,4.7,6.5,1.07,0.49,2.2,2.2,3.0,17.3
"Aaron Gordon, PF",80,72,28.7,12.7,1.5,3.6,5.1,1.9,0.81,0.50,1.1,2.2,1.7,14.5
"Terrence Ross, SF¢Ó",24,24,31.2,12.5,0.2,2.7,2.8,1.8,1.42,0.54,1.5,2.5,1.2,11.1
"Jeff Green, SF",69,11,22.2,9.2,0.6,2.5,3.1,1.2,0.54,0.19,1.1,1.5,1.1,10.6
"Jodie Meeks, SG",36,10,20.5,9.1,0.1,2.0,2.1,1.3,0.94,0.11,1.0,1.1,1.3,13.2
"D.J. Augustin, PG",78,20,19.7,7.9,0.2,1.3,1.5,2.7,0.40,0.01,1.2,1.3,2.3,11.0
"Bismack Biyombo, C",81,27,22.1,6.0,1.9,5.1,7.0,0.9,0.31,1.12,1.2,2.5,0.8,12.2
"Mario Hezonja, SG",65,2,14.8,4.9,0.3,1.9,2.2,1.0,0.46,0.23,0.9,1.1,1.1,7.3
"C.J. Watson, PG",62,9,16.3,4.5,0.3,1.2,1.4,1.8,0.69,0.03,0.8,1.4,2.4,9.3
"Anthony Brown, SF¢Ó",2,0,8.0,4.5,1.0,2.5,3.5,1.0,0.00,0.00,0.5,1.0,2.0,18.6
"Marcus Georges-Hunt, SG",5,0,9.6,2.8,0.2,1.6,1.8,0.6,0.20,0.00,0.4,1.0,1.5,10.3
"Damjan Rudez, SF",45,0,7.0,1.8,0.1,0.4,0.6,0.4,0.27,0.02,0.2,0.7,2.2,6.4
"Stephen Zimmerman, C",19,0,5.7,1.2,0.6,1.3,1.8,0.2,0.11,0.26,0.2,0.9,1.3,7.3
"CJ Wilcox, SG",22,0,4.9,1.0,0.2,0.4,0.5,0.5,0.09,0.05,0.3,0.4,2.0,2.9
"Arinze Onuaku, PF",8,0,3.5,0.5,0.3,0.5,0.8,0.3,0.00,0.13,0.3,0.4,1.0,5.8
"Patricio Garino, SG",5,0,8.6,0.0,0.2,1.2,1.4,0.0,0.00,0.00,0.6,0.8,0.0,-9.2
