PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
"Joel Embiid, C",31,31,25.4,20.2,2.0,5.9,7.8,2.1,0.87,2.45,3.8,3.6,0.6,24.2
"Ersan Ilyasova, PF¢Ó",53,40,27.3,14.8,1.3,4.6,5.9,1.8,0.62,0.26,1.5,2.5,1.2,15.4
"Robert Covington, SF",67,67,31.6,12.9,1.4,5.1,6.5,1.5,1.90,1.03,2.0,3.0,0.8,13.3
"Dario Saric, SF",81,36,26.3,12.8,1.4,5.0,6.3,2.2,0.70,0.37,2.3,2.0,1.0,12.8
"Jahlil Okafor, C",50,33,22.7,11.8,1.6,3.2,4.8,1.2,0.40,0.98,1.8,2.4,0.6,14.9
"Jerryd Bayless, PG",3,1,23.7,11.0,1.0,3.0,4.0,4.3,0.00,0.00,3.0,1.3,1.4,8.8
"Alex Poythress, SF",6,1,26.2,10.7,1.8,3.0,4.8,0.8,0.50,0.17,0.5,2.3,1.7,13.0
"Richaun Holmes, PF",57,17,20.9,9.8,1.6,3.8,5.5,1.0,0.74,0.95,1.0,2.4,1.1,18.6
"Nik Stauskas, SG",80,27,27.4,9.5,0.3,2.6,2.8,2.4,0.56,0.40,1.6,1.8,1.5,9.1
"Gerald Henderson, SG",72,41,23.2,9.2,0.5,2.1,2.6,1.6,0.56,0.19,0.9,1.8,1.8,10.8
"Nerlens Noel, PF¢Ó",29,7,19.4,8.9,1.6,3.4,5.0,1.0,1.48,0.90,1.0,2.4,1.0,20.9
"Justin Anderson, SG¢Ó",24,8,21.6,8.5,1.3,2.8,4.0,1.4,0.54,0.29,1.1,1.9,1.3,12.9
"Shawn Long, PF",18,0,13.0,8.2,2.3,2.4,4.7,0.7,0.50,0.50,0.7,2.7,1.0,24.2
"Jerami Grant, SF¢Ó",2,0,20.5,8.0,0.0,3.0,3.0,0.0,0.00,2.00,1.5,2.5,0.0,3.0
"Sergio Rodriguez, PG",68,30,22.3,7.8,0.3,2.0,2.3,5.1,0.72,0.06,1.9,1.4,2.7,11.1
"T.J. McConnell, PG",81,51,26.3,6.9,0.5,2.6,3.1,6.6,1.65,0.12,2.0,1.7,3.4,13.7
"Timothe Luwawu-Cabarrot, SG",69,19,17.2,6.4,0.4,1.8,2.2,1.1,0.46,0.14,1.1,2.2,1.0,8.5
"Hollis Thompson, SF¢Ó",31,1,18.1,5.5,0.5,2.2,2.7,0.8,0.45,0.19,0.3,1.8,2.9,9.0
"Chasson Randle, PG¢Ó",8,0,9.3,5.3,0.0,0.6,0.6,0.8,0.38,0.13,0.4,1.4,2.0,17.8
"Tiago Splitter, C",8,0,9.5,4.9,1.0,1.8,2.8,0.5,0.13,0.13,0.8,1.0,0.7,15.1
"Justin Harper, PF",3,0,10.3,4.0,0.7,1.0,1.7,0.7,0.00,0.00,1.3,0.7,0.5,5.0
