PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
"Devin Booker, SG",78,78,35.0,22.1,0.6,2.6,3.2,3.4,0.92,0.27,3.1,3.1,1.1,14.6
"Eric Bledsoe, PG",66,66,33.0,21.1,0.8,4.1,4.8,6.3,1.38,0.47,3.4,2.5,1.9,20.6
"TJ Warren, SF",66,59,31.0,14.4,1.9,3.2,5.1,1.1,1.15,0.59,0.9,2.7,1.3,15.6
"Brandon Knight, PG",54,5,21.1,11.0,0.5,1.7,2.2,2.4,0.50,0.09,1.6,1.6,1.5,12.4
"Marquese Chriss, F",82,75,21.3,9.2,1.2,3.1,4.2,0.7,0.82,0.85,1.3,3.2,0.6,12.4
"Tyson Chandler, C",47,46,27.6,8.4,3.3,8.2,11.5,0.6,0.70,0.51,1.4,2.7,0.5,16.6
"Alex Len, C",77,34,20.3,8.0,2.0,4.6,6.6,0.6,0.49,1.27,1.3,3.1,0.4,15.0
"Alan Williams, PF",47,0,15.1,7.4,2.0,4.2,6.2,0.5,0.57,0.68,0.8,2.7,0.6,19.6
"Tyler Ulis, G",61,15,18.4,7.3,0.3,1.2,1.6,3.7,0.79,0.08,1.3,1.2,2.9,13.0
"PJ Tucker, SF¢Ó",57,17,28.5,7.0,1.6,4.4,6.0,1.3,1.49,0.25,0.9,2.5,1.4,10.6
"Jared Dudley, SF",64,7,21.3,6.8,0.5,3.0,3.5,1.9,0.66,0.25,1.1,2.4,1.7,10.6
"Leandro Barbosa, SG",67,0,14.4,6.3,0.2,1.3,1.6,1.2,0.46,0.12,0.7,1.2,1.7,11.5
"Derrick Jones Jr., SF",32,8,17.0,5.3,1.2,1.3,2.5,0.4,0.44,0.41,0.4,2.0,0.9,12.0
"Jarell Eddie, SG",5,0,12.4,4.8,0.2,1.2,1.4,0.0,0.20,0.00,0.2,0.2,0.0,9.7
"Dragan Bender, PF",43,0,13.3,3.4,0.5,1.9,2.4,0.5,0.23,0.51,0.7,1.7,0.7,5.3
"John Jenkins, SG",4,0,3.3,1.8,0.0,0.3,0.3,0.3,0.00,0.00,0.0,0.0,0.0,17.4
"Elijah Millsap, SG",2,0,11.5,1.5,1.5,1.5,3.0,0.5,0.00,0.00,1.0,1.0,0.5,-3.4
"Ronnie Price, PG",14,0,9.6,1.0,0.2,0.6,0.8,1.3,0.79,0.07,0.2,1.0,6.0,5.9
