PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Brook Lopez, C",7.4,15.6,.474,1.8,5.2,.346,3.9,4.9,0.81,5.6,10.4,.536,1.313,0.53
"Jeremy Lin, PG",4.9,11.1,.438,1.6,4.3,.372,3.2,3.9,0.82,3.3,6.8,.480,1.308,0.51
"Bojan Bogdanovic, SG¢Ó",4.9,11.1,.440,1.8,5.0,.357,2.7,3.0,0.87,3.1,6.1,.509,1.282,0.52
"Sean Kilpatrick, SG",4.4,10.5,.415,1.5,4.4,.341,2.9,3.5,0.84,2.9,6.1,.468,1.250,0.49
"Trevor Booker, PF",4.3,8.3,.516,0.4,1.1,.321,1.0,1.5,0.67,3.9,7.2,.546,1.200,0.54
"Rondae Hollis-Jefferson, SG",3.0,6.9,.434,0.2,0.9,.224,2.4,3.2,0.75,2.8,6.0,.463,1.245,0.45
"Joe Harris, SG",3.0,7.0,.425,1.6,4.3,.385,0.7,0.9,0.71,1.4,2.7,.489,1.182,0.54
"Caris LeVert, SG",3.0,6.7,.450,1.0,3.2,.321,1.2,1.6,0.72,2.0,3.5,.571,1.232,0.53
"Archie Goodwin, SG¢Ó",2.8,5.1,.557,0.3,1.1,.308,1.9,2.7,0.72,2.5,4.0,.625,1.557,0.59
"Isaiah Whitehead, G",2.8,7.0,.402,0.6,2.0,.295,1.2,1.5,0.81,2.2,5.0,.446,1.069,0.44
"Spencer Dinwiddie, PG",2.3,5.1,.444,0.6,1.7,.376,2.1,2.7,0.79,1.7,3.4,.478,1.430,0.51
"Justin Hamilton, C",2.7,5.9,.459,0.9,2.8,.306,0.6,0.8,0.75,1.8,3.1,.598,1.166,0.53
"Quincy Acy, SF¢Ó",2.0,4.8,.425,1.1,2.6,.434,1.3,1.8,0.75,0.9,2.2,.414,1.366,0.54
"KJ McDaniels, SG¢Ó",2.3,5.1,.455,0.6,2.0,.282,1.2,1.4,0.82,1.7,3.1,.565,1.248,0.51
"Yogi Ferrell, PG¢Ó",1.8,4.9,.367,0.8,2.7,.296,1.0,1.6,0.63,1.0,2.2,.455,1.102,0.45
"Randy Foye, SG",1.7,4.7,.363,1.0,2.9,.330,0.8,0.9,0.86,0.7,1.8,.418,1.098,0.47
"Luis Scola, PF",2.0,4.2,.470,0.5,1.4,.340,0.7,1.0,0.68,1.5,2.8,.535,1.219,0.53
"Anthony Bennett, PF",1.7,4.0,.413,0.6,2.1,.271,1.1,1.6,0.72,1.1,1.9,.568,1.250,0.48
"Andrew Nicholson, PF¢Ó",1.3,3.4,.382,0.2,1.1,.182,0.2,0.2,1.00,1.1,2.3,.478,.882,0.41
"Chris McCullough, PF¢Ó",1.1,2.2,.516,0.1,0.4,.167,0.1,0.2,0.67,1.0,1.8,.600,1.129,0.53
"Greivis Vasquez, PG",0.7,2.7,.250,0.3,1.0,.333,0.7,1.0,0.67,0.4,1.7,.200,.875,0.31
¢Ó Midseason Trades: Bojan Bogdanovic  (26 games WSH); Archie Goodwin  (3 games NO); Quincy Acy  (6 games DAL); KJ McDaniels  (29 games HOU); Yogi Ferrell  (36 games DAL); Andrew Nicholson  (28 games WSH); Chris McCullough  (2 games WSH),,,,,,,,,,,,,,
