PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Kemba Walker, PG",8.1,18.3,.444,3.0,7.6,.399,3.8,4.5,0.85,5.1,10.7,.476,1.263,0.53
"Nicolas Batum, SG",5.1,12.7,.403,1.8,5.3,.333,3.2,3.7,0.86,3.3,7.4,.453,1.194,0.47
"Frank Kaminsky, C",4.3,10.7,.399,1.5,4.7,.328,1.6,2.1,0.76,2.8,6.0,.455,1.090,0.47
"Marvin Williams, PF",3.9,9.3,.422,1.6,4.7,.350,1.7,2.0,0.87,2.3,4.6,.494,1.206,0.51
"Marco Belinelli, SG",3.6,8.3,.429,1.4,3.8,.360,2.0,2.3,0.89,2.2,4.5,.488,1.268,0.51
"Cody Zeller, C",4.1,7.1,.571,0.0,0.0,.000,2.1,3.2,0.68,4.1,7.1,.572,1.442,0.57
"Jeremy Lamb, SG",3.6,7.9,.460,0.7,2.4,.281,1.8,2.1,0.85,2.9,5.5,.536,1.228,0.50
"Michael Kidd-Gilchrist, SF",3.6,7.6,.477,0.0,0.1,.111,1.9,2.4,0.78,3.6,7.5,.483,1.202,0.48
"Spencer Hawes, PF¢Ó",3.0,6.2,.477,0.5,1.6,.291,0.9,1.0,0.88,2.5,4.6,.540,1.165,0.51
"Ramon Sessions, PG",2.0,5.3,.380,0.4,1.2,.339,1.8,2.4,0.77,1.6,4.1,.393,1.186,0.42
"Roy Hibbert, C¢Ó",1.9,3.4,.542,0.0,0.0,.000,1.5,1.8,0.81,1.9,3.4,.542,1.507,0.54
"Johnny O'Bryant III, PF¢Ó",2.0,3.8,.533,0.3,0.8,.333,0.3,0.5,0.50,1.7,3.0,.583,1.200,0.57
"Briante Weber, PG¢Ó",1.5,3.5,.435,0.1,0.5,.143,0.7,1.0,0.69,1.4,3.0,.487,1.087,0.45
"Brian Roberts, PG",1.1,3.0,.377,0.4,1.1,.386,0.8,1.0,0.85,0.7,1.9,.372,1.164,0.45
"Christian Wood, PF",0.9,1.8,.522,0.0,0.4,.000,0.8,1.2,0.73,0.9,1.4,.667,1.522,0.52
"Miles Plumlee, C¢Ó",1.1,1.8,.583,0.0,0.0,.000,0.2,0.3,0.75,1.1,1.8,.583,1.292,0.58
"Treveon Graham, SG",0.7,1.5,.475,0.3,0.6,.600,0.4,0.6,0.67,0.4,0.9,.400,1.425,0.59
"Mike Tobey, C",0.5,2.0,.250,0.0,0.0,.000,0.0,0.0,0.00,0.5,2.0,.250,.500,0.25
"Aaron Harrison, SG",0.0,0.8,.000,0.0,0.4,.000,0.2,0.4,0.50,0.0,0.4,.000,.250,0.00
¢Ó Midseason Trades: Spencer Hawes  (19 games MIL); Roy Hibbert  (6 games DEN); Johnny O'Bryant III  (7 games DEN); Briante Weber  (7 games GS); Miles Plumlee  (32 games MIL),,,,,,,,,,,,,,
