PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Jimmy Butler, SG",7.7,18.0,.426,1.0,3.8,.261,6.3,7.8,0.81,6.7,14.2,.471,1.259,0.45
"Dwyane Wade, SG",5.3,14.3,.372,1.0,2.8,.353,3.3,3.5,0.95,4.3,11.5,.377,1.047,0.41
"Robin Lopez, C",5.7,8.7,.654,0.0,0.0,.000,1.3,1.3,1.00,5.7,8.7,.654,1.462,0.65
"Isaiah Canaan, PG",4.3,8.7,.500,1.7,4.7,.357,1.3,2.0,0.67,2.6,4.0,.667,1.346,0.60
"Rajon Rondo, PG",5.5,13.0,.423,0.0,3.0,.000,0.5,1.0,0.50,5.5,10.0,.550,.885,0.42
"Nikola Mirotic, PF",2.8,8.3,.340,1.7,5.8,.286,1.3,1.7,0.80,1.1,2.5,.467,1.040,0.44
"Paul Zipser, SG",2.5,5.5,.455,1.0,2.7,.375,1.3,1.3,1.00,1.5,2.8,.529,1.333,0.55
"Bobby Portis, PF",2.8,5.5,.515,1.0,2.2,.462,0.0,0.0,0.00,1.8,3.3,.550,1.212,0.61
"Joffrey Lauvergne, C",1.3,3.7,.364,0.0,0.7,.000,2.0,2.0,1.00,1.3,3.0,.444,1.273,0.36
"Anthony Morrow, SG",1.7,3.0,.556,0.0,0.0,.000,0.7,0.7,1.00,1.7,3.0,.556,1.333,0.56
"Jerian Grant, PG",1.2,4.6,.261,0.2,1.8,.111,0.6,0.6,1.00,1.0,2.8,.357,.696,0.28
"Cristiano Felicio, PF",1.5,2.5,.600,0.0,0.0,.000,0.2,0.3,0.50,1.5,2.5,.600,1.267,0.60
"Cameron Payne, PG",1.0,2.0,.500,1.0,1.0,1.000,0.0,0.0,0.00,0.0,1.0,.000,1.500,0.75
"Michael Carter-Williams, PG",1.2,3.0,.400,0.0,0.2,.000,0.4,0.8,0.50,1.2,2.8,.429,.933,0.40
"Denzel Valentine, SG",0.5,1.5,.333,0.3,1.0,.250,0.0,0.0,0.00,0.2,0.5,.500,.833,0.42
