PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Harrison Barnes, SF",7.6,16.2,.468,1.0,2.8,.351,3.1,3.6,0.86,6.6,13.4,.492,1.186,0.50
"Dirk Nowitzki, PF",5.5,12.6,.437,1.5,3.9,.378,1.8,2.1,0.88,4.0,8.7,.463,1.134,0.49
"Wesley Matthews, SG",4.6,11.6,.393,2.4,6.6,.363,2.0,2.5,0.82,2.2,5.0,.432,1.164,0.50
"Deron Williams, PG¢Ó",4.9,11.3,.430,1.6,4.5,.348,1.7,2.1,0.82,3.3,6.8,.485,1.152,0.50
"Seth Curry, SG",4.8,10.0,.481,2.0,4.6,.425,1.2,1.4,0.85,2.8,5.4,.528,1.277,0.58
"Yogi Ferrell, PG¢Ó",3.9,9.6,.412,1.7,4.1,.403,1.8,2.0,0.88,2.2,5.5,.418,1.183,0.50
"J.J. Barea, PG",4.1,9.8,.414,1.5,4.2,.358,1.3,1.5,0.86,2.6,5.6,.456,1.111,0.49
"Nerlens Noel, PF¢Ó",3.5,6.1,.575,0.0,0.0,.000,1.5,2.2,0.71,3.5,6.1,.575,1.403,0.57
"DeAndre Liggins, SG¢Ó",3.0,6.0,.500,0.0,1.0,.000,2.0,3.0,0.67,3.0,5.0,.600,1.333,0.50
"Devin Harris, PG",2.1,5.2,.399,0.9,2.7,.328,1.6,2.0,0.83,1.2,2.5,.476,1.282,0.48
"Dwight Powell, PF",2.5,4.9,.515,0.3,1.0,.284,1.4,1.8,0.76,2.2,3.9,.571,1.369,0.54
"Justin Anderson, SG¢Ó",2.2,5.4,.401,0.7,2.4,.303,1.4,1.7,0.80,1.5,3.0,.477,1.188,0.47
"Jonathan Gibson, PG",2.1,5.6,.368,0.9,2.6,.333,1.2,1.7,0.72,1.2,3.0,.400,1.116,0.45
"Quinn Cook, PG¢Ó",2.2,5.0,.440,1.0,2.8,.357,0.0,0.4,0.00,1.2,2.2,.545,1.080,0.54
"Jarrod Uthoff, F",1.8,4.2,.421,0.3,1.0,.333,0.6,0.8,0.71,1.5,3.2,.448,1.053,0.46
"Pierre Jackson, PG",1.6,4.9,.333,0.4,1.4,.273,0.8,0.9,0.86,1.2,3.5,.357,.897,0.37
"Dorian Finney-Smith, F",1.5,4.1,.372,0.7,2.4,.293,0.6,0.8,0.75,0.8,1.7,.479,1.051,0.46
"Andrew Bogut, C¢Ó",1.5,3.1,.469,0.0,0.0,.000,0.1,0.4,0.27,1.5,3.1,.475,.975,0.47
"Salah Mejri, C",1.2,1.9,.642,0.0,0.0,.333,0.5,0.8,0.59,1.2,1.9,.649,1.555,0.65
"Nicolas Brussino, SF",1.0,2.6,.369,0.5,1.8,.305,0.3,0.4,0.77,0.5,0.8,.500,1.064,0.47
"AJ Hammons, C",0.8,1.9,.405,0.2,0.5,.500,0.4,0.9,0.45,0.6,1.4,.375,1.143,0.46
"Quincy Acy, SF¢Ó",0.8,2.8,.294,0.2,1.2,.143,0.3,0.5,0.67,0.6,1.6,.400,.765,0.32
"Manny Harris, PG",0.8,3.8,.200,0.0,0.5,.000,0.5,1.0,0.50,0.8,3.3,.231,.533,0.20
"Ben Bentil, PF",0.0,1.0,.000,0.0,0.3,.000,0.0,0.0,0.00,0.0,0.7,.000,.000,0.00
¢Ó Midseason Trades: Deron Williams  (24 games CLE); Yogi Ferrell  (10 games BKN); Nerlens Noel  (29 games PHI); DeAndre Liggins  (61 games CLE); Justin Anderson  (24 games PHI); Quinn Cook  (9 games NO); Andrew Bogut  (1 games CLE); Quincy Acy  (32 games BKN),,,,,,,,,,,,,,
