PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Tobias Harris, SF",6.2,13.0,.481,1.3,3.8,.347,2.3,2.8,0.84,4.9,9.2,.537,1.243,0.53
"Reggie Jackson, PG",5.5,13.0,.420,1.3,3.5,.359,2.3,2.6,0.87,4.2,9.5,.442,1.111,0.47
"Marcus Morris, PF",5.3,12.7,.418,1.5,4.5,.331,1.8,2.3,0.78,3.8,8.2,.466,1.097,0.48
"Kentavious Caldwell-Pope, SG",4.9,12.2,.399,2.0,5.8,.350,2.0,2.4,0.83,2.9,6.4,.442,1.128,0.48
"Andre Drummond, C",6.0,11.2,.530,0.0,0.1,.286,1.7,4.4,0.39,6.0,11.1,.532,1.213,0.53
"Jon Leuer, PF",4.1,8.6,.480,0.7,2.2,.293,1.3,1.5,0.87,3.4,6.4,.545,1.187,0.52
"Ish Smith, PG",4.1,9.2,.439,0.3,1.3,.267,0.9,1.3,0.71,3.8,7.9,.467,1.012,0.46
"Beno Udrih, PG",2.4,5.1,.467,0.3,0.8,.344,0.8,0.9,0.94,2.1,4.3,.491,1.152,0.49
"Boban Marjanovic, C",2.1,3.8,.545,0.0,0.0,.000,1.3,1.7,0.81,2.1,3.8,.545,1.447,0.55
"Aron Baynes, C",1.9,3.7,.513,0.0,0.0,.000,1.1,1.3,0.84,1.9,3.7,.513,1.308,0.51
"Reggie Bullock, SF",1.7,4.1,.422,0.9,2.4,.384,0.2,0.2,0.71,0.8,1.7,.473,1.102,0.53
"Stanley Johnson, SF",1.7,4.7,.353,0.6,2.0,.292,0.5,0.7,0.68,1.1,2.7,.398,.929,0.42
"Darrun Hilliard, SG",1.2,3.2,.373,0.3,1.2,.261,0.5,0.7,0.75,0.9,2.0,.438,1.008,0.42
"Henry Ellenson, F",1.2,3.4,.359,0.5,1.8,.294,0.2,0.4,0.50,0.7,1.6,.433,.938,0.44
"Michael Gbinije, SG",0.1,1.1,.100,0.0,0.4,.000,0.2,0.2,1.00,0.1,0.7,.167,.400,0.10
