PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Paul George, SF",8.5,22.0,.386,4.5,10.5,.429,6.5,7.5,0.87,4.0,11.5,.348,1.273,0.49
"Jeff Teague, PG",5.5,11.3,.489,2.3,4.3,.529,3.8,4.5,0.83,3.2,7.0,.464,1.511,0.59
"Lance Stephenson, SG",6.8,13.3,.509,1.8,4.5,.389,0.8,1.0,0.75,5.0,8.8,.571,1.208,0.58
"Thaddeus Young, PF",5.3,9.8,.538,0.3,1.0,.250,1.3,2.5,0.50,5.0,8.8,.571,1.231,0.55
"Myles Turner, C",4.8,11.0,.432,0.0,1.5,.000,1.3,2.0,0.63,4.8,9.5,.500,.977,0.43
"CJ Miles, SF",2.8,6.0,.458,1.3,4.0,.313,0.5,0.5,1.00,1.5,2.0,.750,1.208,0.56
"Kevin Seraphin, C",3.0,6.5,.462,0.0,0.0,.000,1.3,1.8,0.71,3.0,6.5,.462,1.115,0.46
"Monta Ellis, SG",2.0,5.0,.400,0.5,2.0,.250,1.0,1.3,0.80,1.5,3.0,.500,1.100,0.45
"Aaron Brooks, PG",2.0,3.0,.667,1.0,2.0,.500,0.0,0.0,0.00,1.0,1.0,1.000,1.667,0.83
"Glenn Robinson III, SG",2.0,2.0,1.000,0.7,0.7,1.000,0.3,0.7,0.50,1.3,1.3,1.000,2.500,1.17
"Lavoy Allen, PF",0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,0.00,0.0,0.0,.000,.000,0.00
