PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Lou Williams, SG¢Ó",5.6,12.7,.444,2.1,5.5,.385,5.2,5.9,0.88,3.5,7.2,.489,1.469,0.53
"D'Angelo Russell, PG",5.6,13.8,.405,2.1,6.1,.352,2.3,3.0,0.78,3.5,7.7,.447,1.135,0.48
"Jordan Clarkson, PG",5.8,13.1,.445,1.4,4.3,.329,1.6,2.0,0.80,4.4,8.8,.503,1.125,0.50
"Nick Young, SG",4.5,10.6,.430,2.8,7.0,.404,1.3,1.5,0.86,1.7,3.6,.481,1.250,0.56
"Julius Randle, PF",5.1,10.5,.487,0.2,0.9,.270,2.8,3.8,0.72,4.9,9.6,.506,1.260,0.50
"Brandon Ingram, F",3.5,8.7,.402,0.7,2.4,.294,1.7,2.7,0.62,2.8,6.3,.443,1.079,0.44
"Tyler Ennis, PG¢Ó",3.0,6.5,.451,1.0,2.5,.389,0.9,1.0,0.86,2.0,4.0,.489,1.181,0.52
"Luol Deng, SF",2.9,7.6,.387,0.9,2.9,.309,0.8,1.1,0.73,2.0,4.7,.436,1.002,0.45
"Ivica Zubac, C",3.3,6.3,.529,0.0,0.1,.000,0.8,1.3,0.65,3.3,6.2,.536,1.193,0.53
"Timofey Mozgov, C",3.1,6.1,.515,0.0,0.0,.000,1.2,1.4,0.81,3.1,6.1,.517,1.223,0.52
"Larry Nance Jr., PF",3.0,5.7,.526,0.2,0.6,.278,0.9,1.3,0.74,2.8,5.1,.554,1.244,0.54
"David Nwaba, PG",2.4,4.1,.580,0.1,0.3,.200,1.3,2.0,0.64,2.3,3.8,.605,1.481,0.59
"Tarik Black, C",2.2,4.4,.512,0.0,0.0,.500,1.2,1.6,0.75,2.2,4.4,.512,1.307,0.51
"Corey Brewer, SG¢Ó",2.2,5.0,.438,0.2,1.0,.208,0.8,1.0,0.75,2.0,4.0,.495,1.066,0.46
"Thomas Robinson, PF",2.2,4.1,.536,0.0,0.0,.000,0.6,1.4,0.47,2.2,4.1,.538,1.230,0.54
"Jose Calderon, PG¢Ó",1.3,3.2,.416,0.5,1.4,.353,0.2,0.2,1.00,0.8,1.8,.465,1.039,0.49
"Marcelo Huertas, PG",1.1,3.0,.368,0.2,0.8,.211,0.4,0.7,0.53,0.9,2.2,.429,.926,0.40
"Metta World Peace, SF",0.8,2.7,.279,0.4,1.5,.237,0.4,0.6,0.63,0.4,1.2,.333,.838,0.35
¢Ó Midseason Trades: Lou Williams  (23 games HOU); Tyler Ennis  (31 games HOU); Corey Brewer  (58 games HOU); Jose Calderon  (17 games ATL),,,,,,,,,,,,,,
