PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Mike Conley, PG",8.3,17.2,.485,2.8,6.3,.447,5.2,6.2,0.84,5.5,10.9,.508,1.437,0.57
"Marc Gasol, C",6.5,13.8,.470,1.2,2.0,.583,5.2,5.5,0.94,5.3,11.8,.451,1.398,0.51
"Zach Randolph, PF",5.8,13.8,.422,0.2,1.2,.143,1.3,1.8,0.73,5.6,12.6,.447,.952,0.43
"Vince Carter, SG",3.3,7.0,.476,1.3,3.3,.400,1.2,1.2,1.00,2.0,3.7,.545,1.310,0.57
"James Ennis III, SF",2.7,6.3,.421,1.0,3.2,.316,2.0,2.3,0.86,1.7,3.1,.526,1.316,0.50
"JaMychal Green, PF",2.8,6.0,.472,1.2,2.7,.438,0.5,0.5,1.00,1.6,3.3,.500,1.222,0.57
"Andrew Harrison, PG",2.2,4.8,.448,0.8,2.2,.385,1.3,1.5,0.89,1.4,2.6,.500,1.345,0.53
"Wayne Selden, G",1.5,4.3,.346,0.3,1.8,.182,0.5,0.7,0.75,1.2,2.5,.467,.885,0.38
"Deyonta Davis, F",1.0,1.7,.600,0.0,0.0,.000,0.3,0.7,0.50,1.0,1.7,.600,1.400,0.60
"Brandan Wright, PF",1.0,2.5,.400,0.0,0.0,.000,0.0,0.0,0.00,1.0,2.5,.400,.800,0.40
"Troy Daniels, SG",0.5,1.5,.333,0.5,1.5,.333,0.0,0.0,0.00,0.0,0.0,.000,1.000,0.50
"Jarell Martin, PF",0.3,1.0,.333,0.0,0.0,.000,0.0,0.0,0.00,0.3,1.0,.333,.667,0.33
"Wade Baldwin IV, PG",0.0,0.3,.000,0.0,0.0,.000,0.7,0.7,1.00,0.0,0.3,.000,2.000,0.00
