PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Goran Dragic, PG",7.3,15.4,.475,1.6,4.0,.405,4.1,5.2,0.79,5.7,11.4,.499,1.319,0.53
"Hassan Whiteside, C",7.0,12.6,.557,0.0,0.0,.000,2.9,4.6,0.63,7.0,12.6,.557,1.345,0.56
"Dion Waiters, SG",6.1,14.4,.424,1.8,4.7,.395,1.8,2.8,0.65,4.3,9.7,.438,1.100,0.49
"Tyler Johnson, SG",4.9,11.3,.433,1.3,3.4,.372,2.7,3.5,0.77,3.6,7.9,.460,1.216,0.49
"James Johnson, PF",4.8,10.1,.479,1.1,3.4,.340,2.0,2.8,0.71,3.7,6.7,.548,1.268,0.54
"Justise Winslow, SF",4.4,12.5,.356,0.4,1.9,.200,1.6,2.6,0.62,4.0,10.6,.384,.871,0.37
"Wayne Ellington, SG",3.7,9.0,.416,2.4,6.4,.378,0.6,0.7,0.86,1.3,2.6,.509,1.168,0.55
"Josh Richardson, SG",3.8,9.7,.394,1.4,4.3,.330,1.1,1.5,0.78,2.4,5.4,.444,1.051,0.47
"Rodney McGruder, SG",2.4,5.9,.413,0.9,2.8,.332,0.6,0.9,0.62,1.5,3.1,.488,1.080,0.49
"Derrick Williams, PF¢Ó",2.2,5.5,.394,0.4,1.8,.200,1.2,2.0,0.62,1.8,3.7,.489,1.080,0.43
"Willie Reed, PF",2.3,4.0,.568,0.0,0.1,.250,0.7,1.2,0.56,2.3,3.9,.573,1.312,0.57
"Josh McRoberts, PF",2.0,5.4,.373,0.6,1.4,.419,0.3,0.4,0.67,1.4,4.0,.356,.907,0.43
"Luke Babbitt, SF",1.7,4.1,.402,1.3,3.1,.414,0.2,0.2,0.73,0.4,1.0,.366,1.153,0.56
"Okaro White, PF",0.9,2.5,.379,0.3,1.0,.353,0.6,0.6,0.91,0.6,1.5,.396,1.126,0.45
"Udonis Haslem, PF",0.7,1.4,.478,0.0,0.2,.000,0.6,0.9,0.60,0.7,1.2,.550,1.348,0.48
¢Ó Midseason Trades: Derrick Williams  (25 games CLE),,,,,,,,,,,,,,
