PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Anthony Davis, PF",10.3,20.3,.505,0.5,1.8,.299,6.9,8.6,0.80,9.8,18.5,.524,1.375,0.52
"DeMarcus Cousins, C¢Ó",8.4,18.5,.452,2.1,5.6,.375,5.5,7.1,0.78,6.3,12.9,.486,1.318,0.51
"Jrue Holiday, PG",6.0,13.3,.454,1.5,4.2,.356,1.8,2.5,0.71,4.5,9.1,.498,1.152,0.51
"Jordan Crawford, SG",5.5,11.5,.482,1.9,5.0,.389,1.1,1.4,0.77,3.6,6.5,.553,1.225,0.57
"Omri Casspi, SF¢Ó",5.0,9.0,.556,2.0,4.0,.500,0.0,0.0,0.00,3.0,5.0,.600,1.333,0.67
"Terrence Jones, PF¢Ó",4.5,9.6,.472,0.4,1.5,.253,2.0,3.3,0.61,4.1,8.1,.512,1.194,0.49
"Lance Stephenson, SG¢Ó",4.3,9.2,.473,0.2,1.7,.100,0.8,1.3,0.63,4.1,7.5,.556,1.055,0.48
"E'Twaun Moore, SG",3.9,8.5,.457,1.1,2.8,.370,0.8,1.0,0.77,2.8,5.7,.501,1.131,0.52
"Tyreke Evans, SG¢Ó",3.5,8.7,.401,0.8,2.7,.300,1.7,2.2,0.78,2.7,6.0,.446,1.093,0.45
"Langston Galloway, SG¢Ó",3.0,8.0,.374,1.8,4.9,.377,0.7,0.9,0.77,1.2,3.1,.370,1.068,0.49
"Buddy Hield, SG¢Ó",3.2,8.3,.393,1.6,4.2,.369,0.5,0.6,0.88,1.6,4.1,.417,1.036,0.49
"Tim Frazier, PG",2.5,6.2,.403,0.6,2.0,.313,1.5,2.0,0.76,1.9,4.2,.446,1.149,0.45
"Solomon Hill, SF",2.3,6.0,.383,1.2,3.4,.348,1.3,1.6,0.80,1.1,2.6,.428,1.178,0.48
"Dante Cunningham, PF",2.6,5.4,.485,1.1,2.7,.392,0.2,0.4,0.59,1.5,2.7,.579,1.212,0.58
"Quinn Cook, PG¢Ó",2.4,4.6,.537,0.7,1.3,.500,0.2,0.3,0.67,1.7,3.3,.552,1.268,0.61
"Axel Toupane, SG¢Ó",2.5,4.0,.625,0.5,1.5,.333,0.0,0.0,0.00,2.0,2.5,.800,1.375,0.69
"Wayne Selden, G¢Ó",1.7,2.7,.625,1.3,2.3,.571,0.7,1.3,0.50,0.4,0.4,1.000,2.000,0.88
"Alexis Ajinca, C",2.3,4.6,.500,0.0,0.1,.000,0.7,1.0,0.73,2.3,4.5,.511,1.163,0.50
"Cheick Diallo, F",2.1,4.5,.474,0.0,0.0,.000,0.9,1.2,0.71,2.1,4.5,.474,1.145,0.47
"Archie Goodwin, SG¢Ó",0.7,1.7,.400,0.3,0.7,.500,3.3,3.3,1.00,0.4,1.0,.333,3.000,0.50
"Reggie Williams, SF",1.3,3.8,.348,0.8,1.8,.455,1.0,1.2,0.86,0.5,2.0,.250,1.174,0.46
"Donatas Motiejunas, PF",1.7,4.1,.413,0.3,1.4,.234,0.7,1.4,0.51,1.4,2.7,.505,1.087,0.45
"Hollis Thompson, SF¢Ó",1.2,4.6,.268,0.7,2.7,.250,0.7,1.0,0.67,0.5,1.9,.294,.829,0.34
"Anthony Brown, SF¢Ó",1.6,4.6,.341,0.7,2.7,.250,0.0,0.0,0.00,0.9,1.9,.471,.829,0.41
"Jarrett Jack, PG",1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.00,1.0,1.0,1.000,2.000,0.67
"Omer Asik, C",1.0,2.1,.477,0.0,0.0,.000,0.7,1.3,0.59,1.0,2.1,.477,1.308,0.48
"¢Ó Midseason Trades: DeMarcus Cousins  (55 games SAC); Omri Casspi  (13 games MIN, 22 games SAC); Terrence Jones  (3 games MIL); Lance Stephenson  (6 games IND, 6 games MIN); Tyreke Evans  (14 games SAC); Langston Galloway  (19 games SAC); Buddy Hield  (25 games SAC); Quinn Cook  (5 games DAL); Axel Toupane  (2 games MIL); Wayne Selden  (11 games MEM); Archie Goodwin  (12 games BKN); Hollis Thompson  (31 games PHI); Anthony Brown  (2 games ORL)",,,,,,,,,,,,,,
