PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Carmelo Anthony, SF",8.1,18.8,.433,2.0,5.7,.359,4.1,4.9,0.83,6.1,13.1,.466,1.194,0.49
"Kristaps Porzingis, PF",6.7,14.9,.450,1.7,4.8,.357,3.0,3.8,0.79,5.0,10.1,.493,1.214,0.51
"Derrick Rose, PG",7.2,15.3,.471,0.2,0.9,.217,3.5,4.0,0.87,7.0,14.4,.487,1.181,0.48
"Courtney Lee, SG",4.2,9.1,.456,1.4,3.5,.401,1.1,1.3,0.87,2.8,5.6,.490,1.186,0.53
"Brandon Jennings, PG¢Ó",2.8,7.4,.380,1.2,3.4,.340,1.8,2.3,0.76,1.6,4.0,.415,1.156,0.46
"Willy Hernangomez, C",3.4,6.5,.529,0.1,0.2,.267,1.3,1.7,0.73,3.3,6.3,.538,1.262,0.53
"Justin Holiday, SG",2.8,6.6,.433,1.2,3.3,.355,0.8,1.0,0.83,1.6,3.3,.513,1.169,0.52
"Kyle O'Quinn, C",2.7,5.2,.521,0.0,0.2,.118,0.8,1.1,0.77,2.7,5.0,.538,1.201,0.52
"Mindaugas Kuzminskas, F",2.3,5.4,.429,0.8,2.5,.321,0.8,1.0,0.81,1.5,2.9,.520,1.155,0.50
"Lance Thomas, SF",2.1,5.3,.398,0.8,1.8,.447,0.9,1.1,0.84,1.3,3.5,.371,1.127,0.48
"Chasson Randle, PG¢Ó",1.6,4.0,.389,0.6,1.8,.313,1.6,1.7,0.94,1.0,2.2,.450,1.319,0.46
"Joakim Noah, C",2.2,4.4,.490,0.0,0.0,.000,0.7,1.7,0.44,2.2,4.4,.493,1.149,0.49
"Ron Baker, SG",1.6,4.2,.378,0.4,1.7,.267,0.5,0.8,0.65,1.2,2.5,.450,.991,0.43
"Maurice Ndour, SF",1.2,2.7,.459,0.0,0.2,.143,0.6,0.8,0.73,1.2,2.5,.487,1.153,0.46
"Sasha Vujacic, SG",1.0,3.2,.309,0.5,1.8,.311,0.4,0.6,0.71,0.5,1.4,.306,.912,0.39
"Marshall Plumlee, C",0.8,1.4,.552,0.0,0.0,.000,0.4,0.9,0.42,0.8,1.4,.552,1.379,0.55
¢Ó Midseason Trades: Brandon Jennings  (23 games WSH); Chasson Randle  (8 games PHI),,,,,,,,,,,,,,
