PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Joel Embiid, C",6.5,13.8,.466,1.2,3.2,.367,6.2,7.9,0.78,5.3,10.6,.495,1.462,0.51
"Ersan Ilyasova, PF¢Ó",5.4,12.2,.440,2.0,5.6,.359,2.1,2.7,0.77,3.4,6.6,.509,1.213,0.52
"Robert Covington, SF",4.4,10.9,.399,2.0,6.1,.333,2.1,2.6,0.82,2.4,4.8,.484,1.180,0.49
"Dario Saric, SF",4.7,11.4,.411,1.3,4.2,.311,2.1,2.7,0.78,3.4,7.2,.469,1.122,0.47
"Jahlil Okafor, C",4.8,9.4,.514,0.0,0.0,.000,2.1,3.2,0.67,4.8,9.4,.514,1.253,0.51
"Jerryd Bayless, PG",3.7,10.7,.344,0.7,1.7,.400,3.0,3.3,0.90,3.0,9.0,.333,1.031,0.38
"Alex Poythress, SF",4.2,9.0,.463,1.0,3.2,.316,1.3,1.7,0.80,3.2,5.8,.543,1.185,0.52
"Richaun Holmes, PF",4.0,7.2,.558,0.5,1.4,.351,1.3,1.8,0.70,3.5,5.8,.606,1.357,0.59
"Nik Stauskas, SG",3.1,7.9,.396,1.7,4.5,.368,1.5,1.9,0.81,1.4,3.4,.433,1.192,0.50
"Gerald Henderson, SG",3.3,7.7,.424,0.8,2.4,.353,1.8,2.3,0.81,2.5,5.3,.456,1.199,0.48
"Nerlens Noel, PF¢Ó",3.7,6.0,.611,0.0,0.0,.000,1.5,2.2,0.68,3.7,6.0,.615,1.469,0.61
"Justin Anderson, SG¢Ó",3.1,6.7,.466,0.9,3.0,.292,1.3,1.7,0.78,2.2,3.7,.607,1.261,0.53
"Shawn Long, PF",3.4,6.1,.560,0.4,1.1,.368,1.1,1.9,0.54,3.0,5.0,.600,1.358,0.59
"Jerami Grant, SF¢Ó",3.0,8.5,.353,0.0,1.0,.000,2.0,4.0,0.50,3.0,7.5,.400,.941,0.35
"Sergio Rodriguez, PG",3.1,7.9,.392,1.4,3.7,.365,0.3,0.4,0.67,1.7,4.2,.415,.989,0.48
"T.J. McConnell, PG",2.9,6.3,.461,0.1,0.7,.200,0.9,1.1,0.81,2.8,5.6,.492,1.086,0.47
"Timothe Luwawu-Cabarrot, SG",2.1,5.2,.402,0.7,2.3,.311,1.5,1.8,0.85,1.4,2.9,.475,1.233,0.47
"Hollis Thompson, SF¢Ó",2.1,5.1,.415,0.8,2.3,.366,0.4,0.6,0.65,1.3,2.8,.455,1.075,0.50
"Chasson Randle, PG¢Ó",1.5,3.3,.462,0.8,1.9,.400,1.5,1.5,1.00,0.7,1.4,.545,1.615,0.58
"Tiago Splitter, C",1.8,3.9,.452,0.3,0.8,.333,1.1,1.4,0.82,1.5,3.1,.480,1.258,0.48
"Justin Harper, PF",1.7,4.0,.417,0.7,2.3,.286,0.0,0.0,0.00,1.0,1.7,.600,1.000,0.50
"¢Ó Midseason Trades: Ersan Ilyasova  (26 games ATL, 3 games OKC); Nerlens Noel  (22 games DAL); Justin Anderson  (51 games DAL); Jerami Grant  (78 games OKC); Hollis Thompson  (9 games NO); Chasson Randle  (18 games NY)",,,,,,,,,,,,,,
