PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Damian Lillard, PG",9.8,22.5,.433,2.3,8.0,.281,6.0,6.3,0.96,7.5,14.5,.517,1.233,0.48
"CJ McCollum, SG",8.0,20.0,.400,2.8,5.5,.500,3.8,4.0,0.94,5.2,14.5,.362,1.125,0.47
"Al-Farouq Aminu, SF",4.3,9.3,.459,1.8,4.3,.412,1.8,2.8,0.64,2.5,5.0,.500,1.297,0.55
"Evan Turner, SG",3.0,8.3,.364,1.3,3.8,.333,3.0,4.0,0.75,1.7,4.5,.389,1.242,0.44
"Maurice Harkless, SF",2.5,8.5,.294,0.5,3.0,.167,1.8,2.0,0.88,2.0,5.5,.364,.853,0.32
"Shabazz Napier, PG",2.0,4.8,.421,1.3,2.8,.455,1.5,2.0,0.75,0.7,2.0,.375,1.421,0.55
"Allen Crabbe, SG",2.3,6.0,.375,0.8,3.3,.231,0.3,0.8,0.33,1.5,2.7,.545,.917,0.44
"Noah Vonleh, PF",2.0,4.5,.444,0.0,0.0,.000,0.5,1.3,0.40,2.0,4.5,.444,1.000,0.44
"Jake Layman, F",1.0,2.0,.500,0.5,0.5,1.000,0.5,1.0,0.50,0.5,1.5,.333,1.500,0.63
"Pat Connaughton, SG",0.7,3.0,.222,0.0,2.0,.000,1.0,1.0,1.00,0.7,1.0,.667,.778,0.22
"Jusuf Nurkic, C",1.0,3.0,.333,0.0,1.0,.000,0.0,0.0,0.00,1.0,2.0,.500,.667,0.33
"Tim Quarterman, SG",0.5,1.0,.500,0.5,1.0,.500,0.0,0.0,0.00,0.0,0.0,.000,1.500,0.75
"Meyers Leonard, PF",0.3,1.7,.200,0.0,1.3,.000,0.0,0.0,0.00,0.3,0.4,1.000,.400,0.20
