PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Kawhi Leonard, SF",8.8,16.8,.525,2.1,4.6,.455,7.9,8.5,0.93,6.7,12.2,.551,1.644,0.59
"LaMarcus Aldridge, PF",6.9,15.0,.458,0.1,0.9,.143,2.6,3.4,0.76,6.8,14.1,.478,1.100,0.46
"Tony Parker, PG",6.4,12.1,.526,1.4,2.4,.579,1.8,1.8,1.00,5.0,9.7,.513,1.309,0.58
"Jonathon Simmons, SG",4.1,9.1,.456,0.9,2.5,.351,1.4,2.1,0.68,3.2,6.6,.495,1.162,0.50
"Patty Mills, PG",3.6,8.8,.407,2.0,5.6,.360,1.2,1.4,0.86,1.6,3.2,.490,1.179,0.52
"Danny Green, SG",2.8,6.9,.405,1.6,4.8,.342,0.5,0.9,0.57,1.2,2.1,.543,1.117,0.52
"Pau Gasol, C",3.1,7.1,.439,0.4,1.1,.333,1.1,1.5,0.71,2.7,6.0,.458,1.079,0.46
"Manu Ginobili, SG",2.5,6.1,.412,0.6,2.5,.225,1.1,1.4,0.74,1.9,3.6,.544,1.093,0.46
"Dejounte Murray, G",2.1,5.5,.377,0.0,0.3,.000,1.5,2.3,0.68,2.1,5.2,.397,1.033,0.38
"Kyle Anderson, SF",2.4,4.3,.563,0.2,0.7,.300,0.5,0.7,0.73,2.2,3.6,.611,1.297,0.59
"David Lee, PF",1.7,3.2,.521,0.0,0.1,.000,0.7,1.1,0.65,1.7,3.1,.532,1.271,0.52
"Dewayne Dedmon, C",1.2,1.9,.609,0.0,0.0,.000,1.4,2.7,0.53,1.2,1.9,.609,1.957,0.61
"Bryn Forbes, SG",1.0,3.5,.286,0.3,1.5,.222,1.0,1.0,1.00,0.7,2.0,.333,.952,0.33
"Davis Bertans, SF",0.9,2.1,.444,0.6,1.5,.400,0.3,0.5,0.67,0.3,0.6,.571,1.333,0.59
"Joel Anthony, C",1.0,1.3,.750,0.0,0.0,.000,0.0,0.3,0.00,1.0,1.3,.750,1.500,0.75
