PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"DeMar DeRozan, SG",7.6,17.5,.434,0.1,1.5,.067,7.1,8.0,0.89,7.5,16.0,.469,1.280,0.44
"Kyle Lowry, PG",5.4,11.6,.462,1.6,4.8,.342,3.4,4.1,0.82,3.8,6.8,.545,1.355,0.53
"Serge Ibaka, PF",6.0,13.0,.462,1.2,3.8,.316,1.1,1.3,0.85,4.8,9.2,.522,1.100,0.51
"Norman Powell, SG",3.9,9.1,.427,1.7,3.8,.441,2.2,2.7,0.83,2.2,5.3,.417,1.280,0.52
"Jonas Valanciunas, C",4.4,8.1,.543,0.0,0.1,.000,2.4,3.3,0.73,4.4,8.0,.550,1.383,0.54
"Cory Joseph, PG",3.1,7.1,.437,0.9,2.2,.409,0.8,0.8,1.00,2.2,4.9,.449,1.113,0.50
"PJ Tucker, SF",1.8,4.9,.367,0.9,2.8,.321,0.5,0.8,0.63,0.9,2.1,.429,1.020,0.46
"DeMarre Carroll, SF",1.5,3.7,.405,0.7,2.2,.318,0.5,0.9,0.56,0.8,1.5,.533,1.135,0.50
"Patrick Patterson, PF",1.0,3.6,.278,0.8,2.6,.308,0.6,0.6,1.00,0.2,1.0,.200,.944,0.39
"Delon Wright, PG",1.0,1.9,.529,0.2,0.7,.333,0.6,0.8,0.71,0.8,1.2,.636,1.471,0.59
"Fred VanVleet, PG",0.9,1.3,.667,0.3,0.7,.400,0.0,0.0,0.00,0.6,0.6,1.000,1.556,0.78
"Jakob Poeltl, C",0.8,1.8,.455,0.0,0.0,.000,0.0,0.3,0.00,0.8,1.8,.455,.909,0.45
"Lucas Nogueira, C",0.3,0.7,.500,0.0,0.0,.000,0.3,0.7,0.50,0.3,0.7,.500,1.500,0.50
"Pascal Siakam, F",0.0,1.0,.000,0.0,0.0,.000,0.0,0.0,0.00,0.0,1.0,.000,.000,0.00
