PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Gordon Hayward, SF",7.5,17.1,.441,2.5,6.2,.412,6.5,6.9,0.93,5.0,10.9,.458,1.410,0.52
"George Hill, PG",5.8,12.3,.469,1.5,3.9,.387,2.6,3.6,0.72,4.3,8.4,.507,1.276,0.53
"Joe Johnson, SF",5.3,12.1,.436,1.4,4.1,.333,1.0,1.4,0.73,3.9,8.0,.489,1.068,0.49
"Rudy Gobert, C",4.4,7.0,.635,0.0,0.0,.000,2.7,5.6,0.48,4.4,7.0,.635,1.651,0.63
"Rodney Hood, SG",3.4,9.5,.352,1.2,4.5,.260,1.0,1.6,0.61,2.2,5.0,.436,.933,0.41
"Derrick Favors, PF",3.3,5.6,.581,0.0,0.0,.000,1.0,2.1,0.48,3.3,5.6,.581,1.339,0.58
"Joe Ingles, SF",2.3,5.6,.403,1.4,3.7,.366,0.5,0.8,0.67,0.9,1.9,.476,1.145,0.52
"Shelvin Mack, PG",1.9,5.4,.347,0.8,1.7,.467,1.4,1.7,0.87,1.1,3.7,.294,1.102,0.42
"Boris Diaw, C",2.2,4.4,.500,0.5,1.3,.429,0.8,0.9,0.90,1.7,3.1,.529,1.313,0.56
"Dante Exum, PG",1.6,3.9,.407,0.6,1.7,.333,0.9,0.9,1.00,1.0,2.2,.467,1.185,0.48
"Trey Lyles, PF",1.5,3.5,.429,0.5,1.5,.333,0.0,0.0,0.00,1.0,2.0,.500,1.000,0.50
"Raul Neto, PG",0.9,1.4,.615,0.3,0.7,.500,0.4,0.4,1.00,0.6,0.7,.714,1.769,0.73
"Joel Bolomboy, PF",1.0,1.5,.667,0.0,0.0,.000,0.0,0.0,0.00,1.0,1.5,.667,1.333,0.67
"Jeff Withey, C",0.7,1.3,.500,0.0,0.0,.000,0.3,0.7,0.50,0.7,1.3,.500,1.250,0.50
