PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO
"DeMar DeRozan, SG",10,10,37.3,22.4,0.4,4.5,4.9,3.4,1.40,0.00,2.5,2.6,1.4
"Kyle Lowry, PG",8,8,37.5,15.8,0.4,2.8,3.1,5.9,1.50,0.50,2.1,3.3,2.8
"Serge Ibaka, PF",10,10,30.7,14.3,0.9,5.6,6.5,1.4,0.40,1.70,1.1,3.7,1.3
"Norman Powell, SG",9,5,25.2,11.7,0.6,2.6,3.1,1.6,1.11,0.33,1.7,2.8,0.9
"Jonas Valanciunas, C",10,6,22.6,11.2,0.9,5.8,6.7,0.2,0.20,0.60,1.3,2.2,0.2
"Cory Joseph, PG",10,2,21.2,7.9,0.4,1.7,2.1,3.1,0.40,0.20,1.4,1.7,2.2
"PJ Tucker, SF",10,1,25.1,5.0,1.5,4.2,5.7,1.1,0.60,0.30,0.8,2.7,1.4
"DeMarre Carroll, SF",10,7,15.5,4.2,0.4,2.3,2.7,0.5,0.80,0.50,0.5,1.3,1.0
"Patrick Patterson, PF",10,1,18.5,3.4,0.1,1.9,2.0,2.0,0.70,0.20,0.6,0.4,3.3
"Delon Wright, PG",9,0,10.2,2.8,0.4,1.0,1.4,1.4,0.44,0.11,0.6,0.4,2.6
"Fred VanVleet, PG",7,0,4.1,2.0,0.0,0.1,0.1,0.6,0.14,0.00,0.1,0.4,4.0
"Jakob Poeltl, C",6,0,4.3,1.7,1.0,1.0,2.0,0.0,0.17,0.17,0.0,0.5,0.0
"Lucas Nogueira, C",3,0,2.3,1.0,0.7,1.0,1.7,0.0,0.00,0.00,0.0,0.3,0.0
"Pascal Siakam, F",2,0,5.0,0.0,1.0,0.5,1.5,0.5,0.50,0.00,0.0,0.5,0.0
